,Demand
1/1/2016 0:00,13.21
1/1/2016 0:05,13.17
1/1/2016 0:10,12.96
1/1/2016 0:15,12.71
1/1/2016 0:20,12.99
1/1/2016 0:25,12.54
1/1/2016 0:30,12.41
1/1/2016 0:35,12.5
1/1/2016 0:40,12.89
1/1/2016 0:45,12.82
1/1/2016 0:50,12.92
1/1/2016 0:55,12.91
1/1/2016 1:00,12.97
1/1/2016 1:05,12.63
1/1/2016 1:10,12.48
1/1/2016 1:15,12.37
1/1/2016 1:20,12.15
1/1/2016 1:25,11.88
1/1/2016 1:30,11.77
1/1/2016 1:35,11.66
1/1/2016 1:40,11.75
1/1/2016 1:45,11.96
1/1/2016 1:50,12.03
1/1/2016 1:55,11.71
1/1/2016 2:00,11.64
1/1/2016 2:05,11.89
1/1/2016 2:10,11.72
1/1/2016 2:15,11.63
1/1/2016 2:20,11.83
1/1/2016 2:25,11.72
1/1/2016 2:30,11.48
1/1/2016 2:35,11.8
1/1/2016 2:40,11.67
1/1/2016 2:45,11.86
1/1/2016 2:50,11.68
1/1/2016 2:55,11.69
1/1/2016 3:00,11.5
1/1/2016 3:05,11.16
1/1/2016 3:10,11.06
1/1/2016 3:15,11.21
1/1/2016 3:20,10.92
1/1/2016 3:25,11.03
1/1/2016 3:30,10.75
1/1/2016 3:35,10.8
1/1/2016 3:40,10.63
1/1/2016 3:45,10.61
1/1/2016 3:50,10.19
1/1/2016 3:55,10.69
1/1/2016 4:00,10.59
1/1/2016 4:05,10.09
1/1/2016 4:10,10.3
1/1/2016 4:15,10.27
1/1/2016 4:20,10.45
1/1/2016 4:25,10.01
1/1/2016 4:30,10.19
1/1/2016 4:35,10.01
1/1/2016 4:40,10.15
1/1/2016 4:45,9.86
1/1/2016 4:50,10.14
1/1/2016 4:55,10.12
1/1/2016 5:00,9.51
1/1/2016 5:05,9.55
1/1/2016 5:10,9.7
1/1/2016 5:15,9.73
1/1/2016 5:20,9.5
1/1/2016 5:25,9.43
1/1/2016 5:30,9.29
1/1/2016 5:35,9.03
1/1/2016 5:40,8.7455
1/1/2016 5:45,8.96717
1/1/2016 5:50,8.26424
1/1/2016 5:55,7.46338
1/1/2016 6:00,7.37344
1/1/2016 6:05,7.15438
1/1/2016 6:10,6.66184
1/1/2016 6:15,6.61763
1/1/2016 6:20,6.61763
1/1/2016 6:25,6.24901
1/1/2016 6:30,6.32412
1/1/2016 6:35,6.77143
1/1/2016 6:40,6.42878
1/1/2016 6:45,6.09538
1/1/2016 6:50,6.275
1/1/2016 6:55,6.37501
1/1/2016 7:00,6.36489
1/1/2016 7:05,6.34709
1/1/2016 7:10,6.58301
1/1/2016 7:15,6.05767
1/1/2016 7:20,5.97857
1/1/2016 7:25,6.48466
1/1/2016 7:30,6.16145
1/1/2016 7:35,5.83271
1/1/2016 7:40,5.7965
1/1/2016 7:45,6.16756
1/1/2016 7:50,6.26272
1/1/2016 7:55,6.58922
1/1/2016 8:00,6.80026
1/1/2016 8:05,6.51448
1/1/2016 8:10,6.44439
1/1/2016 8:15,6.70801
1/1/2016 8:20,6.25714
1/1/2016 8:25,6.58056
1/1/2016 8:30,6.98214
1/1/2016 8:35,7.14951
1/1/2016 8:40,7.01801
1/1/2016 8:45,6.65744
1/1/2016 8:50,6.68971
1/1/2016 8:55,6.84689
1/1/2016 9:00,7.10556
1/1/2016 9:05,6.62114
1/1/2016 9:10,7.12667
1/1/2016 9:15,6.76188
1/1/2016 9:20,6.83151
1/1/2016 9:25,6.32939
1/1/2016 9:30,6.61011
1/1/2016 9:35,7.536
1/1/2016 9:40,6.72289
1/1/2016 9:45,6.82967
1/1/2016 9:50,6.77988
1/1/2016 9:55,5.57801
1/1/2016 10:00,6.61219
1/1/2016 10:05,6.3647
1/1/2016 10:10,6.88653
1/1/2016 10:15,5.98451
1/1/2016 10:20,4.82676
1/1/2016 10:25,6.94488
1/1/2016 10:30,7.04641
1/1/2016 10:35,4.87743
1/1/2016 10:40,6.02145
1/1/2016 10:45,8.73926
1/1/2016 10:50,7.49526
1/1/2016 10:55,6.65645
1/1/2016 11:00,5.77938
1/1/2016 11:05,7.08239
1/1/2016 11:10,3.3357
1/1/2016 11:15,8.15455
1/1/2016 11:20,5.97285
1/1/2016 11:25,8.70567
1/1/2016 11:30,7.67579
1/1/2016 11:35,7.65424
1/1/2016 11:40,5.47361
1/1/2016 11:45,8.60664
1/1/2016 11:50,3.37138
1/1/2016 11:55,10.71326
1/1/2016 12:00,4.70247
1/1/2016 12:05,10.34524
1/1/2016 12:10,7.21334
1/1/2016 12:15,6.83489
1/1/2016 12:20,7.66413
1/1/2016 12:25,7.17552
1/1/2016 12:30,4.77521
1/1/2016 12:35,7.38676
1/1/2016 12:40,7.20164
1/1/2016 12:45,9.73697
1/1/2016 12:50,5.30528
1/1/2016 12:55,9.22363
1/1/2016 13:00,7.17464
1/1/2016 13:05,5.10189
1/1/2016 13:10,7.45867
1/1/2016 13:15,6.42325
1/1/2016 13:20,5.26182
1/1/2016 13:25,10.43733
1/1/2016 13:30,3.07113
1/1/2016 13:35,7.58989
1/1/2016 13:40,9.32501
1/1/2016 13:45,10.41301
1/1/2016 13:50,2.87857
1/1/2016 13:55,6.69162
1/1/2016 14:00,9.01647
1/1/2016 14:05,5.91189
1/1/2016 14:10,5.50875
1/1/2016 14:15,10.372
1/1/2016 14:20,4.59429
1/1/2016 14:25,10.85211
1/1/2016 14:30,7.17688
1/1/2016 14:35,7.14651
1/1/2016 14:40,6.16536
1/1/2016 14:45,7.61763
1/1/2016 14:50,7.11401
1/1/2016 14:55,7.46512
1/1/2016 15:00,6.63263
1/1/2016 15:05,6.67988
1/1/2016 15:10,7.72413
1/1/2016 15:15,6.23001
1/1/2016 15:20,7.57884
1/1/2016 15:25,7.14818
1/1/2016 15:30,8.17652
1/1/2016 15:35,7.13988
1/1/2016 15:40,7.32438
1/1/2016 15:45,7.53688
1/1/2016 15:50,7.13178
1/1/2016 15:55,8.73801
1/1/2016 16:00,7.57525
1/1/2016 16:05,7.64858
1/1/2016 16:10,7.48472
1/1/2016 16:15,7.3147
1/1/2016 16:20,6.74788
1/1/2016 16:25,8.04838
1/1/2016 16:30,6.79063
1/1/2016 16:35,7.04123
1/1/2016 16:40,6.96844
1/1/2016 16:45,7.27584
1/1/2016 16:50,7.16813
1/1/2016 16:55,7.22334
1/1/2016 17:00,7.4021
1/1/2016 17:05,7.12564
1/1/2016 17:10,6.89801
1/1/2016 17:15,6.78064
1/1/2016 17:20,6.82433
1/1/2016 17:25,6.72454
1/1/2016 17:30,6.79682
1/1/2016 17:35,6.67677
1/1/2016 17:40,6.93571
1/1/2016 17:45,6.82519
1/1/2016 17:50,6.90357
1/1/2016 17:55,7.13555
1/1/2016 18:00,7.63651
1/1/2016 18:05,7.55976
1/1/2016 18:10,7.67888
1/1/2016 18:15,7.49173
1/1/2016 18:20,8.11581
1/1/2016 18:25,7.98954
1/1/2016 18:30,7.9035
1/1/2016 18:35,8.16069
1/1/2016 18:40,8.23434
1/1/2016 18:45,8.37935
1/1/2016 18:50,9.04913
1/1/2016 18:55,9.89
1/1/2016 19:00,10.31
1/1/2016 19:05,10.57
1/1/2016 19:10,11.12
1/1/2016 19:15,11.98
1/1/2016 19:20,12.19
1/1/2016 19:25,12.43
1/1/2016 19:30,12.65
1/1/2016 19:35,13.12
1/1/2016 19:40,13.49
1/1/2016 19:45,13.67
1/1/2016 19:50,13.74
1/1/2016 19:55,14.48
1/1/2016 20:00,14.02
1/1/2016 20:05,14.46
1/1/2016 20:10,14.77
1/1/2016 20:15,14.7
1/1/2016 20:20,14.13
1/1/2016 20:25,14.2
1/1/2016 20:30,14.2
1/1/2016 20:35,14.52
1/1/2016 20:40,14.13
1/1/2016 20:45,14.02
1/1/2016 20:50,14.05
1/1/2016 20:55,14.19
1/1/2016 21:00,13.89
1/1/2016 21:05,13.95
1/1/2016 21:10,13.85
1/1/2016 21:15,14.08
1/1/2016 21:20,13.75
1/1/2016 21:25,13.68
1/1/2016 21:30,13.83
1/1/2016 21:35,13.6
1/1/2016 21:40,13.05
1/1/2016 21:45,12.88
1/1/2016 21:50,12.99
1/1/2016 21:55,12.93
1/1/2016 22:00,12.59
1/1/2016 22:05,12.45
1/1/2016 22:10,12.03
1/1/2016 22:15,11.89
1/1/2016 22:20,11.86
1/1/2016 22:25,11.61
1/1/2016 22:30,11.45
1/1/2016 22:35,11.89
1/1/2016 22:40,11.81
1/1/2016 22:45,11.54
1/1/2016 22:50,11.49
1/1/2016 22:55,11.54
1/1/2016 23:00,11.54
1/1/2016 23:05,11.09
1/1/2016 23:10,10.91
1/1/2016 23:15,10.87
1/1/2016 23:20,11.21
1/1/2016 23:25,10.78
1/1/2016 23:30,10.73
1/1/2016 23:35,10.61
1/1/2016 23:40,11.02
1/1/2016 23:45,10.9
1/1/2016 23:50,10.56
1/1/2016 23:55,10.61
1/2/2016 0:00,10.82
1/2/2016 0:05,10.57
1/2/2016 0:10,10.22
1/2/2016 0:15,9.98
1/2/2016 0:20,10.05
1/2/2016 0:25,10.29
1/2/2016 0:30,10.04
1/2/2016 0:35,9.84
1/2/2016 0:40,9.74
1/2/2016 0:45,9.81
1/2/2016 0:50,9.74
1/2/2016 0:55,9.58
1/2/2016 1:00,9.52
1/2/2016 1:05,9.5
1/2/2016 1:10,9.61
1/2/2016 1:15,9.36
1/2/2016 1:20,9.1
1/2/2016 1:25,9.03
1/2/2016 1:30,8.95
1/2/2016 1:35,8.78
1/2/2016 1:40,8.62
1/2/2016 1:45,8.61
1/2/2016 1:50,8.74
1/2/2016 1:55,8.78
1/2/2016 2:00,8.7
1/2/2016 2:05,8.54
1/2/2016 2:10,8.58
1/2/2016 2:15,8.84
1/2/2016 2:20,8.66
1/2/2016 2:25,8.6
1/2/2016 2:30,8.54
1/2/2016 2:35,8.75
1/2/2016 2:40,8.77
1/2/2016 2:45,8.53
1/2/2016 2:50,8.39
1/2/2016 2:55,8.32
1/2/2016 3:00,8.61
1/2/2016 3:05,8.82
1/2/2016 3:10,8.6
1/2/2016 3:15,8.33
1/2/2016 3:20,8.41
1/2/2016 3:25,8.57
1/2/2016 3:30,8.11
1/2/2016 3:35,8.17
1/2/2016 3:40,8.08
1/2/2016 3:45,8.09
1/2/2016 3:50,7.83
1/2/2016 3:55,7.65
1/2/2016 4:00,7.76
1/2/2016 4:05,7.79
1/2/2016 4:10,8.03
1/2/2016 4:15,7.76
1/2/2016 4:20,7.81
1/2/2016 4:25,7.71
1/2/2016 4:30,7.86
1/2/2016 4:35,7.67
1/2/2016 4:40,7.49
1/2/2016 4:45,7.45
1/2/2016 4:50,7.22
1/2/2016 4:55,7.44
1/2/2016 5:00,7.49
1/2/2016 5:05,7.25
1/2/2016 5:10,6.96
1/2/2016 5:15,6.99
1/2/2016 5:20,7.33
1/2/2016 5:25,6.93
1/2/2016 5:30,6.95
1/2/2016 5:35,7.05
1/2/2016 5:40,6.88
1/2/2016 5:45,6.26844
1/2/2016 5:50,5.63264
1/2/2016 5:55,5.24251
1/2/2016 6:00,5.14267
1/2/2016 6:05,5.474
1/2/2016 6:10,5.31163
1/2/2016 6:15,5.25677
1/2/2016 6:20,5.23233
1/2/2016 6:25,5.16117
1/2/2016 6:30,5.1466
1/2/2016 6:35,4.91136
1/2/2016 6:40,4.87604
1/2/2016 6:45,4.78926
1/2/2016 6:50,4.92844
1/2/2016 6:55,4.83815
1/2/2016 7:00,4.82011
1/2/2016 7:05,4.81989
1/2/2016 7:10,4.94501
1/2/2016 7:15,5.18426
1/2/2016 7:20,4.75289
1/2/2016 7:25,4.95182
