,W/m2,Temperature,Radiation tilt isotropic
2013-01-01 01:00:00-04:00,0.0,20.25,0.0
2013-01-01 02:00:00-04:00,0.0,19.0,0.0
2013-01-01 03:00:00-04:00,0.0,19.0,0.0
2013-01-01 04:00:00-04:00,0.0,18.0,0.0
2013-01-01 05:00:00-04:00,0.0,18.0,0.0
2013-01-01 06:00:00-04:00,0.25,18.5,0.24472837235620312
2013-01-01 07:00:00-04:00,27.25,19.0,26.62024236934181
2013-01-01 08:00:00-04:00,30.5,20.0,29.842624791091584
2013-01-01 09:00:00-04:00,13.25,19.0,12.971881750195195
2013-01-01 10:00:00-04:00,32.5,19.5,31.81625041795047
2013-01-01 11:00:00-04:00,22.0,20.0,21.539277660092427
2013-01-01 12:00:00-04:00,35.75,19.5,35.000237290964954
2013-01-01 13:00:00-04:00,68.75,18.25,67.30020537646523
2013-01-01 14:00:00-04:00,116.0,18.0,113.52194488481969
2013-01-01 15:00:00-04:00,92.75,18.0,90.75573534078069
2013-01-01 16:00:00-04:00,53.25,18.0,52.10045957703551
2013-01-01 17:00:00-04:00,72.25,17.25,70.55119922307632
2013-01-01 18:00:00-04:00,165.0,17.5,104.67020720728684
2013-01-01 19:00:00-04:00,48.75,17.25,47.733130518403954
2013-01-01 20:00:00-04:00,0.75,17.0,0.7343558541292915
2013-01-01 21:00:00-04:00,0.0,16.5,0.0
2013-01-01 22:00:00-04:00,0.0,16.0,0.0
2013-01-01 23:00:00-04:00,0.0,16.5,0.0
2013-01-02 00:00:00-04:00,0.0,16.0,0.0
2013-01-02 01:00:00-04:00,0.0,16.0,0.0
2013-01-02 02:00:00-04:00,0.0,16.0,0.0
2013-01-02 03:00:00-04:00,0.0,16.0,0.0
2013-01-02 04:00:00-04:00,0.0,16.0,0.0
2013-01-02 05:00:00-04:00,0.0,16.0,0.0
2013-01-02 06:00:00-04:00,0.25,16.0,0.24472647510209208
2013-01-02 07:00:00-04:00,21.0,16.0,20.52510461661696
2013-01-02 08:00:00-04:00,92.0,16.0,89.88761978812624
2013-01-02 09:00:00-04:00,210.75,17.5,205.91461658591925
2013-01-02 10:00:00-04:00,374.25,18.75,364.7792373884089
2013-01-02 11:00:00-04:00,308.75,19.75,301.9372676271073
2013-01-02 12:00:00-04:00,228.5,19.75,223.56964218181648
2013-01-02 13:00:00-04:00,401.75,20.25,392.46417279541396
2013-01-02 14:00:00-04:00,587.0,22.0,565.6594270971345
2013-01-02 15:00:00-04:00,513.25,22.5,491.1328478423253
2013-01-02 16:00:00-04:00,166.5,21.5,162.65209520831718
2013-01-02 17:00:00-04:00,279.5,22.25,254.52417340671875
2013-01-02 18:00:00-04:00,63.75,21.0,61.58276318322536
2013-01-02 19:00:00-04:00,23.5,20.25,23.009816762717804
2013-01-02 20:00:00-04:00,0.0,19.0,0.0
2013-01-02 21:00:00-04:00,0.0,19.0,0.0
2013-01-02 22:00:00-04:00,0.0,19.0,0.0
2013-01-02 23:00:00-04:00,0.0,18.5,0.0
2013-01-03 00:00:00-04:00,0.0,18.0,0.0
2013-01-03 01:00:00-04:00,0.0,17.5,0.0
2013-01-03 02:00:00-04:00,0.0,17.0,0.0
2013-01-03 03:00:00-04:00,0.0,16.0,0.0
2013-01-03 04:00:00-04:00,0.0,15.5,0.0
2013-01-03 05:00:00-04:00,0.0,15.25,0.0
2013-01-03 06:00:00-04:00,0.5,16.0,0.4893325764140447
2013-01-03 07:00:00-04:00,51.5,16.5,50.20156309231542
2013-01-03 08:00:00-04:00,199.25,18.75,193.6787986628019
2013-01-03 09:00:00-04:00,347.75,20.75,336.7222429580262
2013-01-03 10:00:00-04:00,666.0,23.5,629.5954327054595
2013-01-03 11:00:00-04:00,872.25,24.0,821.8363542516779
2013-01-03 12:00:00-04:00,544.25,24.5,529.1683710731487
2013-01-03 13:00:00-04:00,563.75,24.5,547.2299851496107
2013-01-03 14:00:00-04:00,380.5,24.25,371.45680062273806
2013-01-03 15:00:00-04:00,602.5,25.25,568.3869729748694
2013-01-03 16:00:00-04:00,589.5,25.25,522.832910063986
2013-01-03 17:00:00-04:00,442.25,25.75,348.2665487886693
2013-01-03 18:00:00-04:00,177.5,25.0,105.59954570118771
2013-01-03 19:00:00-04:00,21.5,23.25,21.051534485039692
2013-01-03 20:00:00-04:00,0.0,20.75,0.0
2013-01-03 21:00:00-04:00,0.0,19.75,0.0
2013-01-03 22:00:00-04:00,0.0,18.5,0.0
2013-01-03 23:00:00-04:00,0.0,17.25,0.0
2013-01-04 00:00:00-04:00,0.0,17.0,0.0
2013-01-04 01:00:00-04:00,0.0,16.75,0.0
2013-01-04 02:00:00-04:00,0.0,16.0,0.0
2013-01-04 03:00:00-04:00,0.0,16.0,0.0
