,W/m2,Temperature,Radiation tilt isotropic
2013-01-01 00:00:00,0.0,20.25,0.0
2013-01-01 01:00:00,0.0,19.0,0.0
2013-01-01 02:00:00,0.0,19.0,0.0
2013-01-01 03:00:00,0.0,18.0,0.0
2013-01-01 04:00:00,0.0,18.0,0.0
2013-01-01 05:00:00,0.25,18.5,0.24478528470976388
2013-01-01 06:00:00,27.25,19.0,25.59084554313299
2013-01-01 07:00:00,30.5,20.0,29.786943533066896
2013-01-01 08:00:00,13.25,19.0,12.969622880447208
2013-01-01 09:00:00,32.5,19.5,31.811628508803054
2013-01-01 10:00:00,22.0,20.0,21.53843058189088
2013-01-01 11:00:00,35.75,19.5,34.99947025024642
2013-01-01 12:00:00,68.75,18.25,67.3009443361197
2013-01-01 13:00:00,116.0,18.0,113.53553952471945
2013-01-01 14:00:00,92.75,18.0,90.77798748997512
2013-01-01 15:00:00,53.25,18.0,52.11961864668076
2013-01-01 16:00:00,72.25,17.25,70.67150816078785
2013-01-01 17:00:00,165.0,17.5,159.98989649359095
2013-01-01 18:00:00,48.75,17.25,47.25584471045976
2013-01-01 19:00:00,0.75,17.0,0.7343558541292915
2013-01-01 20:00:00,0.0,16.5,0.0
2013-01-01 21:00:00,0.0,16.0,0.0
2013-01-01 22:00:00,0.0,16.5,0.0
2013-01-01 23:00:00,0.0,16.0,0.0
2013-01-02 00:00:00,0.0,16.0,0.0
2013-01-02 01:00:00,0.0,16.0,0.0
2013-01-02 02:00:00,0.0,16.0,0.0
2013-01-02 03:00:00,0.0,16.0,0.0
2013-01-02 04:00:00,0.0,16.0,0.0
2013-01-02 05:00:00,0.25,16.0,0.24478528470976388
2013-01-02 06:00:00,21.0,16.0,20.135737554178487
2013-01-02 07:00:00,92.0,16.0,89.35714254339821
2013-01-02 08:00:00,210.75,17.5,204.5155495522381
2013-01-02 09:00:00,374.25,18.75,361.06407923677176
2013-01-02 10:00:00,308.75,19.75,301.6486801836926
2013-01-02 11:00:00,228.5,19.75,223.5381141449339
2013-01-02 12:00:00,401.75,20.25,392.53641665482365
2013-01-02 13:00:00,587.0,22.0,568.9403979456972
2013-01-02 14:00:00,513.25,22.5,497.59405535101314
2013-01-02 15:00:00,166.5,21.5,162.8371942248614
2013-01-02 16:00:00,279.5,22.25,271.2407305061046
2013-01-02 17:00:00,63.75,21.0,62.27288821942237
2013-01-02 18:00:00,23.5,20.25,22.900961950916226
2013-01-02 19:00:00,0.0,19.0,0.0
2013-01-02 20:00:00,0.0,19.0,0.0
2013-01-02 21:00:00,0.0,19.0,0.0
2013-01-02 22:00:00,0.0,18.5,0.0
2013-01-02 23:00:00,0.0,18.0,0.0
2013-01-03 00:00:00,0.0,17.5,0.0
2013-01-03 01:00:00,0.0,17.0,0.0
2013-01-03 02:00:00,0.0,16.0,0.0
2013-01-03 03:00:00,0.0,15.5,0.0
2013-01-03 04:00:00,0.0,15.25,0.0
2013-01-03 05:00:00,0.5,16.0,0.48957056941952776
2013-01-03 06:00:00,51.5,16.5,26.78958754560218
2013-01-03 07:00:00,199.25,18.75,170.75025950334887
2013-01-03 08:00:00,347.75,20.75,320.49195967908327
2013-01-03 09:00:00,666.0,23.5,600.4024486153701
2013-01-03 10:00:00,872.25,24.0,803.5513793403579
2013-01-03 11:00:00,544.25,24.5,527.8120084956581
2013-01-03 12:00:00,563.75,24.5,547.5852065427563
