,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,X_deg,Y_deg
0,SA_PV2012,SHS,1164,34.493450735268624,0.35,99.0,99.0,99.0,SHS2025,0.35,117.936356,13.797379999999999,0.0,37.942795000000004,51.740177,54879.082,378.17035,44600.03,0.0,-68.96512,-13.969403
1,Non,SHS,408,26.90402723010955,0.35,99.0,99.0,99.0,SHS2025,0.35,91.987404,10.761611,0.0,29.594428999999998,40.35604,42804.31,378.17035,34786.906,0.0,-63.471676,-21.301607
3,SA_PV2012,SHS,661,6.525529436354329,0.35,99.0,99.0,99.0,SHS2025,0.35,22.3114,2.6102117999999996,0.0,7.1780824999999995,9.788294,10382.117,378.17035,8437.51,0.0,-63.73701,-21.042417999999998
5,MG_Diesel2012,SHS,477,16.194829051470258,0.35,99.0,99.0,99.0,SHS2025,0.35,55.371643000000006,6.4779315,0.0,17.814312,24.292244,25765.972999999998,378.17035,20939.914,0.0,-64.421486,-22.647942999999998
9,SA_PV2012,SHS,297,20.011818822223,0.35,99.0,99.0,99.0,SHS2025,0.35,68.42229499999999,8.004727,0.0,22.013,30.017729,31838.805,378.17035,25875.281000000003,0.0,-62.833133999999994,-21.891853
12,MG_Diesel2012,SHS,850,14.36968172937232,0.35,99.0,99.0,99.0,SHS2025,0.35,49.131294,5.747873,0.0,15.80665,21.554523,22862.164,378.17035,18579.998,0.0,-64.49251600000001,-22.305403
17,MG_Diesel2012,SHS,1299,24.215699485686102,0.35,99.0,99.0,99.0,SHS2025,0.35,82.79575,9.68628,0.0,26.63727,36.323547,38527.18,378.17035,31310.9,0.0,-64.17699999999999,-21.544945000000002
18,SA_PV2012,SHS,335,34.8870086747117,0.35,99.0,99.0,99.0,SHS2025,0.35,119.28197,13.954803,0.0,38.37571,52.330513,55505.23,378.17035,45108.902,0.0,-62.905080000000005,-16.29768
19,SA_Diesel2012,SHS,312,0.20650530255819846,0.35,99.0,99.0,99.0,SHS2025,0.35,0.70606107,0.08260212,0.0,0.22715583,0.30975795,328.54992999999996,378.17035,267.01135,0.0,-61.9135,-16.963642
20,SA_Diesel2012,SHS,234,1.4294156311197752,0.35,99.0,99.0,99.0,SHS2025,0.35,4.8873067,0.57176626,0.0,1.5723572000000001,2.1441236,2274.2002,378.17035,1848.2344,0.0,-63.228244999999994,-16.935513
21,Non,SHS,341,14.674923941569025,0.35,99.0,99.0,99.0,SHS2025,0.35,50.174946000000006,5.8699694000000004,0.0,16.142416,22.012386,23347.805,378.17035,18974.676,0.0,-59.928093000000004,-18.071005
22,SA_PV2012,SHS,237,1.8424262353587468,0.35,99.0,99.0,99.0,SHS2025,0.35,6.2994285,0.7369705,0.0,2.0266688000000004,2.7636395,2931.3,378.17035,2382.257,0.0,-64.28753,-17.074953
23,Non,SHS,220,20.78947558730166,0.35,99.0,99.0,99.0,SHS2025,0.35,71.08117,8.31579,0.0,22.868423,31.184214,33076.055,378.17035,26880.791,0.0,-63.302017000000006,-16.343431
24,MG_Diesel2012,SHS,233,0.20650530255819846,0.35,99.0,99.0,99.0,SHS2025,0.35,0.70606107,0.08260212,0.0,0.22715583,0.30975795,328.54992999999996,378.17035,267.01135,0.0,-62.988197,-16.428099
26,SA_Diesel2012,SHS,439,0.20650530255819846,0.35,99.0,99.0,99.0,SHS2025,0.35,0.70606107,0.08260212,0.0,0.22715583,0.30975795,328.54992999999996,378.17035,267.01135,0.0,-62.39545,-16.135353
27,Non,SHS,236,40.356040829078175,0.35,99.0,99.0,99.0,SHS2025,0.35,137.9811,16.142416,0.0,44.391644,60.53406,64206.46,378.17035,52180.36,0.0,-64.167534,-16.687864
28,SA_PV2012,SHS,173,2.653342365466329,0.35,99.0,99.0,99.0,SHS2025,0.35,9.072027,1.061337,0.0,2.9186766,3.9800136,4221.468,378.17035,3430.7717,0.0,-58.06746,-18.09284
31,Non,SHS,237,1.2229103285615772,0.35,99.0,99.0,99.0,SHS2025,0.35,4.1812453000000005,0.48916414,0.0,1.3452013999999999,1.8343654999999999,1945.6504,378.17035,1581.223,0.0,-63.206398,-16.884434
32,SA_PV2012,SHS,781,10.810727116453377,0.35,99.0,99.0,99.0,SHS2025,0.35,36.962894,4.3242908,0.0,11.8918,16.216091,17199.867,378.17035,13978.2705,0.0,-63.50851,-18.089447
33,SA_PV2012,SHS,1528,0.6195159073821203,0.35,99.0,99.0,99.0,SHS2025,0.35,2.1181831,0.24780637,0.0,0.6814675,0.92927384,985.6498,378.17035,801.03406,0.0,-63.81914499999999,-18.361855
34,SA_Diesel2012,SHS,155,18.805029989808236,0.35,99.0,99.0,99.0,SHS2025,0.35,64.296165,7.522011999999999,0.0,20.685534,28.207544,29918.803,378.17035,24314.904,0.0,-58.632045999999995,-18.821346
35,SA_PV2012,SHS,596,5.508108005150924,0.35,99.0,99.0,99.0,SHS2025,0.35,18.832739,2.2032432999999996,0.0,6.058919,8.262162,8763.399,378.17035,7121.984,0.0,-63.371959999999994,-18.019243
36,Non,SHS,537,3.668730986854632,0.35,99.0,99.0,99.0,SHS2025,0.35,12.543736,1.4674923,0.0,4.035604,5.503096599999999,5836.951,378.17035,4743.669,0.0,-62.432430000000004,-16.219528
37,Non,SHS,267,1.2229103285615772,0.35,99.0,99.0,99.0,SHS2025,0.35,4.1812453000000005,0.48916414,0.0,1.3452013999999999,1.8343654999999999,1945.6504,378.17035,1581.223,0.0,-61.108619999999995,-17.299973
