,2025
1.Population_Grid,11708172.728581963
1.Population_MG_Hybrid_LowLands,43355.33419559998
1.Population_MG_Hybrid_HighLands,26684.708538499992
1.Population_SHS,675965.2288754968
2.New_Connections_Grid,3307227.8270966914
2.New_Connections_MG_Hybrid_LowLands,30129.334904020998
2.New_Connections_MG_Hybrid_HighLands,23010.482946692005
2.New_Connections_SHS,494925.1671398186
3.Capacity_Grid,279679.58467876515
3.Capacity_MG_Hybrid_LowLands,2473.8930380887773
3.Capacity_MG_Hybrid_HighLands,2414.3107725402965
3.Capacity_SHS,217129.95718415696
4.Investment_Grid,1124398968.298538
4.Investment_MG_Hybrid_LowLands,23423832.35908041
4.Investment_MG_Hybrid_HighLands,13057634.622421835
4.Investment_SHS,187166023.09274387
5.NPC_Grid,1634683251.4157064
5.NPC_MG_Hybrid_LowLands,24716777.31870676
5.NPC_MG_Hybrid_HighLands,18954672.80853079
5.NPC_SHS,230302507.91999742
