,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,Pop2025,ElecPopCalib,X_deg,Y_deg
25,SA_PV2012,Lowlands,528,93.5103532192712,99.0,0.73306197,99.0,0.5256179,Grid2025,0.5256179,319.7207,0.0,0.0,0.0,13.719984,195356.23,502.86093,160775.05,0.06517062,802.79913,483.07842999999997,-62.513259999999995,-16.262981
29,MG_Diesel2012,Lowlands,120,374.0610094064002,99.0,0.3903159,99.0,0.21918220000000002,Grid2025,0.21918220000000002,1437.0818,0.0,0.0,0.0,47.188705,306955.22,142.92596,205396.31,0.058196597,6883.9487,5446.866999999999,-58.39965,-16.358732
30,SA_Diesel2012,Lowlands,362,141.0847043196672,99.0,0.7060128000000001,99.0,0.5237361,Grid2025,0.5237361,482.38187,0.0,0.0,0.0,19.47072,286026.0,485.32805999999994,234113.45,0.3963957,1542.8795,1060.4977,-63.000965,-18.025253
46,MG_Diesel2012,Highlands,1375,231.90975100954844,99.0,99.0,0.38485727,0.21196477,Grid2025,0.21196477,890.9597,0.0,0.0,0.0,38.930813,226544.94,173.65433000000002,154719.0,0.080529675,4200.9976,3310.0378,-64.580864,-18.093754
50,Non,Lowlands,251,59.922606088403214,99.0,0.67671204,99.0,0.5705351,Grid2025,0.5705351,204.88103,0.0,0.0,0.0,9.727264,141779.38,579.1768,118662.34,3.3318517,204.88103,0.0,-64.13213,-17.053060000000002
100,SA_Diesel2012,Highlands,3326,91.3781632285223,99.0,99.0,0.5265666,0.41986999999999997,Grid2025,0.41986999999999997,312.43054,0.0,0.0,0.0,16.770681,184157.22,474.6404,148292.16,3.2359035,347.04337000000004,34.612835,-65.06041,-20.192556
101,SA_PV2012,Highlands,1041,68.11847325754199,99.0,99.0,0.58514804,0.41148379999999996,Grid2025,0.41148379999999996,232.90347000000003,0.0,0.0,0.0,13.112347,137560.19,476.72305,111030.45,0.88817745,267.5997,34.69624,-67.44230999999999,-15.767920499999999
107,SA_PV2012,Highlands,4120,97.97108680927872,99.0,99.0,0.54779714,0.44349492,Grid2025,0.44349492,334.97235,0.0,0.0,0.0,17.81695,207630.89,502.3176,168262.52,3.5926852,480.84323,145.87086000000002,-68.31837,-16.391195
204,MG_Diesel2012,Highlands,811,281.80859256220464,99.0,99.0,0.39748588,0.22633319,Grid2025,0.22633319,1082.663,0.0,0.0,0.0,47.03368,292545.9,188.4434,204020.7,0.06402177,3247.059,2164.3962,-63.281597,-20.432010000000002
219,SA_Diesel2012,Lowlands,264,66.67403163420565,99.0,0.94859034,99.0,0.7109905,Grid2025,0.7109905,227.96478,0.0,0.0,0.0,10.554971,194285.36,725.36096,165356.77,0.027656358,919.8739999999999,691.9092400000001,-62.453373,-17.261356
271,Non,Highlands,1621,58.699695777975094,99.0,99.0,0.596531,0.5556323000000001,Grid2025,0.5556323000000001,200.69978,0.0,0.0,0.0,11.641237,162281.58,676.84015,135841.67,4.941216000000001,200.69978,0.0,-67.35334,-15.761109
309,SA_PV2012,Highlands,3702,183.89256033995673,99.0,99.0,0.44233054,0.33270437,Grid2025,0.33270437,628.746,0.0,0.0,0.0,31.399296000000003,283951.25,347.30444,218366.28,3.7191806000000005,740.0804400000001,111.33448,-67.07994000000001,-18.378542000000003
329,SA_PV2012,Highlands,3642,60.774037439458255,99.0,99.0,0.5846511999999999,0.41364306,Grid2025,0.41364306,207.79214,0.0,0.0,0.0,11.965188000000001,124658.95,485.75717000000003,100936.53,0.672006,221.606,13.813857999999998,-65.59591999999999,-19.560015
347,MG_Diesel2012,SHS,510,43.027562317606545,0.35,99.0,99.0,0.34554753,Grid2025,0.34554753,147.11528,0.0,0.0,0.0,6.845517999999999,64996.52,341.28348,50208.01,0.11023524,439.03076,291.9155,-62.014297,-16.15643
361,MG_Diesel2012,Highlands,919,65.48059702631987,99.0,99.0,0.48835429999999996,0.26465622,Grid2025,0.26465622,223.88432000000003,0.0,0.0,0.0,12.700161999999999,85344.71,285.28432999999995,63870.687999999995,0.053934305999999994,915.69275,691.8084,-63.675903000000005,-19.651915
367,MG_Diesel2012,Highlands,1828,390.50839584481656,99.0,99.0,0.37687778,0.20180523,Grid2025,0.20180523,1500.27,0.0,0.0,0.0,63.87757,359210.06,159.62228000000002,239476.53,0.07838222,6911.4663,5411.1963,-64.52524,-17.917707
372,MG_Diesel2012,Highlands,1245,264.6863851219681,99.0,99.0,0.37430605,0.20852825,Grid2025,0.20852825,1016.8822,0.0,0.0,0.0,44.23411,253521.31,169.22948,172086.44,0.07408730000000001,5292.523,4275.6406,-64.17488,-21.526398
376,MG_Diesel2012,Lowlands,163,55.225273241807464,99.0,0.9069891,99.0,0.63914275,Grid2025,0.63914275,188.8204,0.0,0.0,0.0,9.136866,147819.16,662.5296,125099.1,0.19677061,192.3373,3.5168866999999997,-57.824192000000004,-19.00609
394,MG_Diesel2012,Lowlands,117,72.30582957896726,99.0,0.5520626999999999,99.0,0.302709,Grid2025,0.302709,247.22043,0.0,0.0,0.0,11.230663999999999,88969.84,274.4632,67852.914,31.175175,844.6116,597.3912,-65.582825,-10.537767
420,SA_PV2012,Highlands,2784,112.94718735511326,99.0,99.0,0.49311679999999997,0.31812444,Grid2025,0.31812444,386.17706,0.0,0.0,0.0,20.204288000000002,170300.44,338.45642000000004,130704.1,0.032386925,393.03708,6.860014,-65.5388,-18.452714999999998
435,SA_PV2012,Highlands,4415,63.47532128833297,99.0,99.0,0.6361554,0.5852148,Grid2025,0.5852148,217.02809,0.0,0.0,0.0,12.386984,183454.11,710.0509,154101.0,4.555996400000001,359.5871,142.55902,-67.432755,-17.002737
445,SA_PV2012,Highlands,3893,50.53098958068684,99.0,99.0,0.6188175,0.46761309999999995,Grid2025,0.46761309999999995,172.7702,0.0,0.0,0.0,10.362867999999999,119445.164,570.3919999999999,98546.75,1.3838812,179.79355,7.0233479999999995,-68.0149,-17.78143
507,SA_PV2012,Highlands,3877,53.01427621712707,99.0,99.0,0.6177013000000001,0.5176514,Grid2025,0.5176514,181.2608,0.0,0.0,0.0,10.752203,137991.16,634.11096,114939.45,2.6558406000000003,209.06226999999998,27.801476,-65.55277,-19.081112
515,SA_PV2012,Highlands,3949,65.85897078866242,99.0,99.0,0.5733436,0.40318632,Grid2025,0.40318632,225.17802000000003,0.0,0.0,0.0,12.759267999999999,130701.14,467.5441,105280.66,0.6851347,242.51224,17.334219,-66.03504000000001,-19.777176
523,MG_Diesel2012,,504,921.3919101462424,99.0,99.0,99.0,0.16674256,Grid2025,0.16674256,3539.8384,0.0,0.0,0.0,269.6608,1235492.9,216.29341000000002,765643.75,0.19423556,10511.666000000001,6971.8276,-62.024055000000004,-16.135170000000002
535,SA_PV2012,Lowlands,232,59.1652774448736,99.0,0.6916135999999999,99.0,0.68642014,Grid2025,0.68642014,202.29166,0.0,0.0,0.0,9.632956,168670.81,708.94934,143414.53,5.3961754,250.87472999999997,48.583076,-62.883632999999996,-16.606258
540,MG_Diesel2012,Lowlands,109,316.6564430824352,99.0,0.39584374,99.0,0.2256953,Grid2025,0.2256953,1216.5427,0.0,0.0,0.0,40.584053000000004,268566.72,149.97816,182454.84,0.03623562,5604.387,4387.8447,-57.71193,-19.025394
