,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025
196,SA_Diesel2012,Lowlands,351,66.47543748483159,99.0,0.6707751999999999,99.0,99.0,MG_Hybrid_LowLands2025,0.6707751999999999,227.28578,4.0950165,6.419978599999999,9.809825,20.324820000000003,185387.12,775.69434,176304.28,0.0
244,SA_Diesel2012,Lowlands,160,78.39887093035661,99.0,0.74916214,99.0,99.0,MG_Hybrid_LowLands2025,0.74916214,268.0531,4.140181,7.296488,8.970084,20.406751999999997,236505.03,828.4936,222080.28,0.0
257,SA_PV2012,Lowlands,193,51.79557249729663,99.0,0.68706286,99.0,99.0,MG_Hybrid_LowLands2025,0.68706286,177.09393,2.0259826000000003,5.3406405,8.404569,15.771192999999998,152918.94,819.6122,145148.34,0.0
400,SA_PV2012,Lowlands,158,80.86358026808682,99.0,0.77009493,99.0,99.0,MG_Hybrid_LowLands2025,0.77009493,276.4802,4.4401283,7.477672999999999,7.608374,19.526175,248815.61,844.5022,233488.12,0.0
434,SA_PV2012,Highlands,4133,54.03068124459283,99.0,99.0,0.61559296,99.0,MG_Hybrid_HighLands2025,0.61559296,184.73598,5.3219547,6.684757,8.807514,20.814226,168132.23,656.3649,121254.23,0.0
577,SA_Diesel2012,Lowlands,146,52.60126562195483,99.0,0.6965526,99.0,99.0,MG_Hybrid_LowLands2025,0.6965526,179.84868,1.7377293999999999,5.3998165,7.0200477,14.157594,155163.16,817.73724,147068.95,0.0
625,SA_PV2012,Highlands,4082,92.49115616860192,99.0,99.0,0.5672946,99.0,MG_Hybrid_HighLands2025,0.5672946,316.23596000000003,10.242192999999999,10.407746000000001,14.297765,34.947703999999995,256871.67,550.6038,174120.73,0.0
691,SA_PV2012,Lowlands,219,50.99250562444543,99.0,0.74261326,99.0,99.0,MG_Hybrid_LowLands2025,0.74261326,174.34818,2.7849147000000003,5.2816849999999995,9.580921,17.64752,165432.6,899.3229,156795.3,0.0
803,SA_PV2012,Highlands,3689,83.00004349603469,99.0,99.0,0.5437095000000001,99.0,MG_Hybrid_HighLands2025,0.5437095000000001,283.78494,7.791208999999999,9.492272,11.78346,29.066941999999997,217899.19,510.04787999999996,144743.92,0.0
869,SA_PV2012,Highlands,1654,60.570299348560454,99.0,99.0,0.62306243,99.0,MG_Hybrid_HighLands2025,0.62306243,207.09555,5.013799,7.3215985,8.397389,20.732785999999997,183533.84,621.78406,128768.71,0.0
996,SA_PV2012,Highlands,3792,51.8045791435894,99.0,99.0,0.62736654,99.0,MG_Hybrid_HighLands2025,0.62736654,177.12473,5.3552985,6.468978,8.539807000000001,20.364084,165896.05,677.721,120041.16,0.0
1084,SA_Diesel2012,Lowlands,127,63.19024134673556,99.0,0.6712134,99.0,99.0,MG_Hybrid_LowLands2025,0.6712134,216.05337999999998,2.5643713,6.178298000000001,6.8891063,15.631775,173589.4,761.7547,164579.67,0.0
