,2025
1.Population_Grid,11713963.753547065
1.Population_MG_Hybrid_LowLands,43355.33419559998
1.Population_MG_Hybrid_HighLands,26684.708538499992
1.Population_SHS,670174.2039103969
2.New_Connections_Grid,3308928.278526592
2.New_Connections_MG_Hybrid_LowLands,30129.334904020998
2.New_Connections_MG_Hybrid_HighLands,23010.482946692005
2.New_Connections_SHS,493224.7157099184
3.Capacity_Grid,279758.7095024142
3.Capacity_MG_Hybrid_LowLands,2473.8930380887773
3.Capacity_MG_Hybrid_HighLands,2414.3107725402965
3.Capacity_SHS,239464.9019479643
4.Investment_Grid,1124999061.3893719
4.Investment_MG_Hybrid_LowLands,23423832.35908041
4.Investment_MG_Hybrid_HighLands,13057634.622421835
4.Investment_SHS,191283409.62831727
5.NPC_Grid,1635456116.3627079
5.NPC_MG_Hybrid_LowLands,24716777.31870676
5.NPC_MG_Hybrid_HighLands,18954672.80853079
5.NPC_SHS,235569990.89218727
