,2025
1.Population_Grid,11745222.744621044
1.Population_SA_PV_,608070.1650632165
1.Population_MG_PV_,42765.77858549998
1.Population_MG_Diesel_,58119.311921799985
2.New_Connections_Grid,3306338.5842735614
2.New_Connections_SA_PV_,468600.870815138
2.New_Connections_MG_PV_,36339.65871864299
2.New_Connections_MG_Diesel_,44013.698279881
3.Capacity_Grid,277561.90657720534
3.Capacity_SA_PV_,43759.722184229584
3.Capacity_MG_PV_,3451.6647241446067
3.Capacity_MG_Diesel_,2309.168240970459
4.Investment_Grid,1115441518.018287
4.Investment_SA_PV_,269786767.9425106
4.Investment_MG_PV_,23105067.872932207
4.Investment_MG_Diesel_,17232994.789420925
5.NPC_Grid,1628473345.663022
5.NPC_SA_PV_,281108184.19470584
5.NPC_MG_PV_,26154692.903533816
5.NPC_MG_Diesel_,31337941.15316601
