,Total GHI Energy
0,1748.872
1,2176.685
2,2196.257
3,2200.983
4,2288.245
5,2235.369
6,2186.529
7,2410.656
8,2199.175
9,2154.251
10,2401.992
11,2291.69
12,2250.539
13,2187.847
14,2176.925
15,2156.356
16,2388.902
17,2213.454
18,1994.178
19,2016.619
20,1997.93
21,2063.799
22,1940.291
23,1992.271
24,2002.69
25,1992.058
26,1990.989
27,1943.563
28,2027.764
29,1948.284
30,2045.376
31,1999.297
32,2046.541
33,2089.47
34,2065.037
35,2040.646
36,1991.91
37,2024.099
38,1991.734
39,1973.383
40,2151.462
41,2105.593
42,2035.635
43,1998.029
44,2007.177
45,2033.264
46,2106.136
47,1997.679
48,2028.009
49,1996.97
50,1954.843
51,2357.478
52,2188.273
53,2188.066
54,2270.955
55,2502.259
56,2064.886
57,1861.087
58,1805.464
59,2407.523
60,2474.086
61,2574.9
62,2502.261
63,2499.368
64,2067.118
65,2530.856
66,2482.429
67,2358.098
68,2173.85
69,1992.794
70,2526.548
71,1769.711
72,1840.478
73,1828.928
74,1790.569
75,1773.108
76,1823.537
77,1817.238
78,1798.654
79,1848.485
80,1782.917
81,1772.554
82,1805.12
83,1787.03
84,1779.866
85,2201.999
86,1937.584
87,2326.747
88,1930.256
89,1921.705
90,2093.391
91,1872.621
92,2402.561
93,2245.07
94,2322.302
95,2366.793
96,1908.85
97,2037.875
98,2236.225
99,1934.962
100,2386.8
101,1857.451
102,2393.881
103,2259.688
104,2489.581
105,1868.348
106,2156.558
107,2235.991
108,2303.747
109,2339.297
110,2489.753
111,2330.502
112,2108.086
113,2100.664
114,2487.989
115,2076.155
116,1782.85
117,1799.799
118,2438.151
119,2191.395
120,2205.254
121,2166.591
122,2467.213
123,1791.906
124,2308.578
125,2089.955
126,2583.475
127,2492.893
128,2556.207
129,2499.968
130,2525.049
131,2566.801
132,2626.509
133,2575.911
134,2401.763
135,2400.205
136,2467.57
137,2581.031
138,2517.169
139,1797.315
140,1815.81
141,1778.13
142,1777.49
143,1788.813
144,1789.328
145,2402.932
146,2445.367
147,2481.499
148,2359.937
149,2387.875
150,2436.966
151,2429.393
152,2442.723
153,2382.153
154,2550.894
155,2467.277
156,2441.833
157,2344.667
158,2339.857
159,2393.874
160,2470.547
161,2484.902
162,2376.739
163,2396.415
164,2390.497
165,2487.85
166,2401.588
167,2432.777
168,2532.655
169,2460.269
170,2475.889
171,2477.831
172,2413.991
173,2408.956
174,2386.193
175,2467.983
176,2465.965
177,2393.251
178,2518.388
179,2426.501
180,2436.377
181,2578.0
182,2412.134
183,2554.159
184,2399.859
185,2388.606
186,2379.601
187,2520.617
188,2538.42
189,2476.747
190,2067.283
191,1918.737
192,2068.613
193,1999.687
194,2278.93
195,1991.755
196,1976.485
197,1971.775
198,2028.865
199,2029.018
200,2004.64
201,1998.471
202,2014.88
203,1992.45
204,2161.473
205,2036.443
206,2077.972
207,2478.854
208,2143.071
209,2015.926
210,2003.64
211,1992.051
212,2158.394
213,2129.047
214,2012.966
215,2112.788
216,2162.04
217,2001.698
218,1991.853
219,2035.144
220,1992.673
221,1993.29
222,2013.423
223,2012.442
224,1999.146
225,1990.991
226,2006.531
227,2173.892
228,2311.615
229,1846.046
230,2082.701
231,1766.913
232,2470.662
233,1796.728
234,2314.267
235,1997.133
236,2037.639
237,2502.276
238,2236.354
239,1866.255
240,1781.39
241,1832.062
242,1774.766
243,1823.944
244,1837.51
245,1786.601
246,1836.678
247,1845.286
248,1861.962
249,2371.336
250,1913.93
251,1916.119
252,2045.202
253,2326.41
254,2009.812
255,1931.531
256,2102.532
257,1900.717
258,1954.039
259,2352.099
260,1941.293
261,2244.98
262,2203.785
263,2259.282
264,1948.219
265,2084.546
266,2356.045
267,2328.878
268,2274.496
269,2401.163
270,2428.845
271,1858.936
272,2486.221
273,2497.009
274,2279.312
275,2236.201
276,2267.271
277,1924.354
278,2310.316
279,2046.86
280,2372.756
281,2486.508
282,2129.994
283,2074.215
284,2306.528
285,2413.823
286,2210.53
287,2493.918
288,1838.279
289,1901.68
290,2296.077
291,2507.933
292,2585.402
293,2553.847
294,2586.978
295,2548.939
296,2480.518
297,2554.838
298,2575.608
299,2521.882
300,2503.037
301,2444.093
302,2525.919
303,2571.816
304,2448.312
305,2575.758
306,2587.215
307,2396.897
308,2559.772
309,2503.872
310,2477.214
311,1779.927
312,1792.55
313,2401.416
314,2384.142
315,2336.119
316,2507.903
317,2418.301
318,2383.627
319,2411.523
320,2383.484
321,2304.561
322,2338.213
323,2463.547
324,2403.758
325,2633.011
326,2438.278
327,2471.506
328,2438.157
329,2438.392
330,2476.019
331,2393.539
332,2317.054
333,2327.85
334,2416.544
335,2493.981
336,2016.108
337,2557.326
338,2440.52
339,2448.036
340,2447.866
341,2001.409
342,2031.572
343,2056.675
344,2100.152
345,2154.622
346,1995.43
347,1992.457
348,1991.923
349,1993.266
350,1996.742
351,1992.482
352,1991.729
353,2013.651
354,2148.258
355,2001.185
356,2005.395
357,2036.884
358,2142.049
359,2030.556
360,1993.148
361,2167.693
362,2000.755
363,2039.119
364,2049.579
365,1944.048
366,1991.548
367,2063.006
368,2050.977
369,2175.75
370,2222.406
371,2391.766
372,2212.65
373,2381.949
374,2235.031
375,2476.872
376,2030.999
377,2489.764
378,2563.109
379,2511.003
380,2563.105
381,2566.456
382,2567.7
383,2316.075
384,2298.397
385,2332.338
386,2476.419
387,2495.914
388,2567.931
389,2426.059
390,2343.149
391,1768.702
392,1846.259
393,1770.306
394,1772.998
395,1769.987
396,1812.883
397,1955.981
398,1767.954
399,1768.064
400,1784.384
401,1854.621
402,1801.251
403,1822.686
404,1779.72
405,2177.717
406,1916.049
407,2329.832
408,2243.867
409,1919.608
410,2054.715
411,2217.083
412,2212.309
413,2308.553
414,2367.47
415,2303.196
416,2326.235
417,2169.189
418,2203.516
419,2259.955
420,2301.938
421,2322.531
422,2486.565
423,1758.343
424,1923.276
425,1880.665
426,1881.653
427,1864.567
428,2443.32
429,2303.882
430,1783.456
431,1873.437
432,2204.532
433,2244.423
434,2516.569
435,2199.279
436,2491.368
437,2328.639
438,2192.991
439,2281.207
440,2519.931
441,2486.636
442,2566.378
443,2558.392
444,2489.021
445,2494.423
446,2500.761
447,2524.051
448,2493.476
449,2543.745
450,2498.535
451,2494.321
452,2450.314
453,2505.222
454,2543.285
455,2492.395
456,2402.523
457,2581.846
458,2517.842
459,2560.172
460,2562.813
461,2494.477
462,2491.66
463,1815.357
464,1797.771
465,1768.716
466,1773.388
467,1790.721
468,1779.825
469,1786.636
470,2485.509
471,2379.671
472,2388.689
473,2455.986
474,2494.281
475,2453.771
476,2359.712
477,2386.211
478,2411.195
479,2575.328
480,2461.434
481,2554.555
482,2473.274
483,2557.891
484,2494.089
485,2464.613
486,2417.4
487,2438.373
488,2474.678
489,2428.916
490,2376.228
491,2430.039
492,2378.643
493,2454.068
494,2553.577
495,2622.795
496,2342.254
497,2511.672
498,2381.005
499,2475.789
500,2512.413
501,2437.934
502,2425.231
503,2508.918
504,2524.883
505,2478.604
506,2445.44
507,2371.653
508,2442.293
509,2358.256
510,2493.426
511,2559.538
512,2537.42
513,2561.555
514,2462.669
515,2514.999
516,2531.931
517,2540.971
518,2039.33
519,2124.542
520,2130.071
521,1999.208
522,2064.212
523,1991.948
524,2038.911
525,1992.083
526,1998.436
527,2131.344
528,2044.266
529,1989.171
530,2139.542
531,2019.23
532,2135.781
533,2001.487
534,1997.705
535,2005.699
536,2130.25
537,1991.628
538,2127.915
539,2042.272
540,2026.169
541,1977.126
542,2056.101
543,2056.847
544,1987.01
545,2312.623
546,2201.221
547,2200.353
548,2312.635
549,2228.12
550,2222.497
