,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SA_PV_2025,LCOE_MG_PV_2025,LCOE_MG_Diesel_2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,X_deg,Y_deg
0,SA_PV2012,SHS,1164,34.493450735268624,0.54753923,99.0,99.0,99.0,SA_PV_2025,0.54753923,117.936356,13.2145815,82563.375,671.8725599999999,79238.2,0.0,-68.96512,-13.969403
1,Non,SHS,408,26.90402723010955,0.43992403,99.0,99.0,99.0,SA_PV_2025,0.43992403,91.987404,8.281261,51740.492,539.8205,49656.684,0.0,-63.471676,-21.301607
3,SA_PV2012,SHS,661,6.525529436354329,0.43506745,99.0,99.0,99.0,SA_PV_2025,0.43506745,22.3114,1.9864328000000002,12411.032,533.8611,11911.1875,0.0,-63.73701,-21.042417999999998
5,MG_Diesel2012,SHS,477,16.194829051470258,0.64720947,99.0,99.0,0.42871928,Grid2025,0.42871928,55.371643000000006,2.5793592999999997,30351.834,438.66602,24289.658,0.069649994,-64.421486,-22.647942999999998
9,SA_PV2012,SHS,297,20.011818822223,0.5067536,99.0,99.0,99.0,SA_PV_2025,0.5067536,68.42229499999999,6.223935,44332.168,621.8255,42546.723,0.0,-62.833133999999994,-21.891853
12,MG_Diesel2012,SHS,850,14.36968172937232,0.6428469,99.0,99.0,0.43986490000000006,Grid2025,0.43986490000000006,49.131294,2.2886672000000003,27631.343999999997,451.7042,22192.81,0.11689045,-64.49251600000001,-22.305403
17,MG_Diesel2012,SHS,1299,24.215699485686102,0.6536174,99.0,99.0,0.39970276,Grid2025,0.39970276,82.79575,3.8568477999999997,42312.6,404.72235,33509.293,0.025475599999999998,-64.17699999999999,-21.544945000000002
18,SA_PV2012,SHS,335,34.8870086747117,0.48018584,99.0,99.0,99.0,SA_PV_2025,0.48018584,119.28197,11.721269,73233.305,589.2248,70283.89,0.0,-62.905080000000005,-16.29768
19,SA_Diesel2012,SHS,312,0.20650530255819846,0.7174146,99.0,99.0,99.0,SA_PV_2025,0.7174146,0.70606107,0.06860917,647.64496,880.3227,621.5616,0.0,-61.9135,-16.963642
20,SA_Diesel2012,SHS,234,1.4294156311197752,0.54640275,99.0,99.0,99.0,SA_PV_2025,0.54640275,4.8873067,0.47935036,3414.3416,670.4780000000001,3276.8315,0.0,-63.228244999999994,-16.935513
