,Renewable Invesment Cost,Battery Unitary Invesment Cost,Deep of Discharge,Battery Cycles,GenSet Unitary Invesment Cost,Generator Efficiency,Low Heating Value,Fuel Cost,HouseHolds,Renewable Energy Unit Total
0,1100,350,0.2,5500,1100,0.33,9.9,0.8215680000000001,34.49345073526862,424.065109
1,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,26.904027230109545,512.9867039999998
2,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,19.733878555476576,521.538488
3,1100,350,0.2,5500,1100,0.33,9.9,0.8143786666666667,6.52552943635433,518.424026
4,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,59.79004120726994,566.0999069999998
5,1100,350,0.2,5500,1100,0.33,9.9,0.8143786666666667,16.194829051470258,536.325791
6,1100,350,0.2,5500,1100,0.33,9.9,0.8,8.392067406612853,517.238478
7,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,23.337841628677932,603.39957
8,1100,350,0.2,5500,1100,0.33,9.9,0.8,101.686933437393,520.963957
9,1100,350,0.2,5500,1100,0.33,9.9,0.8107840000000001,20.011818822223002,503.229426
10,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,13.103347951609301,600.4783570000002
11,1100,350,0.2,5500,1100,0.33,9.9,0.8143786666666667,14.184520927825368,566.1624029999998
12,1100,350,0.2,5500,1100,0.33,9.9,0.8467306666666667,14.369681729372319,546.2984430000001
13,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,28.114172091852268,519.185249
14,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,28.396771393898042,512.947891
15,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,33.185751172656175,504.219538
16,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,7.998368497079718,604.1000230000002
17,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,24.2156994856861,536.8125390000001
18,1100,350,0.2,5500,1100,0.33,9.9,0.8179733333333333,34.8870086747117,464.928572
19,1100,350,0.2,5500,1100,0.33,9.9,0.8323520000000001,0.20650530255819843,468.635099
20,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,1.4294156311197752,465.22972999999996
21,1100,350,0.2,5500,1100,0.33,9.9,0.8359466666666667,14.674923941569025,477.307071
22,1100,350,0.2,5500,1100,0.33,9.9,0.8431360000000001,1.8424262353587468,452.16695899999996
23,1100,350,0.2,5500,1100,0.33,9.9,0.8970560000000001,20.78947558730166,463.840976
24,1100,350,0.2,5500,1100,0.33,9.9,0.8323520000000001,0.20650530255819843,466.267155
25,1100,350,0.2,5500,1100,0.33,9.9,0.8179733333333333,93.51035321927121,465.166813
26,1100,350,0.2,5500,1100,0.33,9.9,0.8179733333333333,0.20650530255819843,465.295456
27,1100,350,0.2,5500,1100,0.33,9.9,0.9078400000000001,40.35604082907818,452.17911
28,1100,350,0.2,5500,1100,0.33,9.9,0.8143786666666667,2.653342365466329,470.180214
29,1100,350,0.2,5500,1100,0.33,9.9,0.8107840000000001,374.0610094064002,450.602164
30,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,141.0847043196672,477.459716
31,1100,350,0.2,5500,1100,0.33,9.9,0.8215680000000001,1.222910328561577,465.54735000000005
32,1100,350,0.2,5500,1100,0.33,9.9,0.8143786666666667,10.810727116453378,484.94332
33,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,0.6195159073821203,498.998399
34,1100,350,0.2,5500,1100,0.33,9.9,0.8107840000000001,18.80502998980824,476.02630700000003
35,1100,350,0.2,5500,1100,0.33,9.9,0.8,5.508108005150924,481.340934
36,1100,350,0.2,5500,1100,0.33,9.9,0.8287573333333333,3.6687309868546314,465.354309
37,1100,350,0.2,5500,1100,0.33,9.9,0.8179733333333333,1.222910328561577,467.92948099999995
38,1100,350,0.2,5500,1100,0.33,9.9,0.8323520000000001,1.4294156311197752,465.3562559999999
39,1100,350,0.2,5500,1100,0.33,9.9,0.8215680000000001,43.33585374686569,460.455899
40,1100,350,0.2,5500,1100,0.33,9.9,0.8179733333333333,8.56037229876114,506.164365
41,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,5.098146616512031,503.502734
42,1100,350,0.2,5500,1100,0.33,9.9,0.8179733333333333,9.809427172037587,481.69087500000006
43,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,1.222910328561577,465.25295
44,1100,350,0.2,5500,1100,0.33,9.9,0.8934613333333334,2.8739363429497122,464.67517599999996
45,1100,350,0.2,5500,1100,0.33,9.9,0.8682986666666668,24.588053878706805,472.75456900000006
46,1100,350,0.2,5500,1100,0.33,9.9,0.8107840000000001,231.90975100954847,508.651153
47,1100,350,0.2,5500,1100,0.33,9.9,0.8215680000000001,2.653342365466329,466.08897300000007
48,1100,350,0.2,5500,1100,0.33,9.9,0.8682986666666668,0.20650530255819843,471.121951
49,1100,350,0.2,5500,1100,0.33,9.9,0.8251626666666667,18.542028990259073,464.67878600000006
50,1100,350,0.2,5500,1100,0.33,9.9,0.8826773333333334,59.92260608840322,455.05662199999995
51,1100,350,0.2,5500,1100,0.33,9.9,0.8,5.162632577116341,589.5103959999999
52,1100,350,0.2,5500,1100,0.33,9.9,0.8,1.4294156311197752,517.5954780000002
53,1100,350,0.2,5500,1100,0.33,9.9,0.8,4.5149393023353435,521.37804
54,1100,350,0.2,5500,1100,0.33,9.9,0.8,7.771676088981129,567.8329259999998
55,1100,350,0.2,5500,1100,0.33,9.9,0.8,19.56656525640028,623.166443
56,1100,350,0.2,5500,1100,0.33,9.9,0.8359466666666667,2.0489315387943705,515.2493509999998
57,1100,350,0.2,5500,1100,0.33,9.9,0.8287573333333333,3.6687309868546314,451.54227000000003
58,1100,350,0.2,5500,1100,0.33,9.9,0.8611093333333334,1.2390318147642405,422.420386
59,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,5.306684728885331,602.22016
60,1100,350,0.2,5500,1100,0.33,9.9,0.8,11.961327085493373,619.770351
61,1100,350,0.2,5500,1100,0.33,9.9,0.8287573333333333,20.78947558730166,641.9917200000001
62,1100,350,0.2,5500,1100,0.33,9.9,0.8,29.38005804338847,625.9815070000002
63,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,1.0325265113286157,625.925258
64,1100,350,0.2,5500,1100,0.33,9.9,0.8107840000000001,15.763805170146892,511.560435
65,1100,350,0.2,5500,1100,0.33,9.9,0.8107840000000001,12.520281637940059,635.923472
66,1100,350,0.2,5500,1100,0.33,9.9,0.875488,18.375897916622637,624.2643760000002
67,1100,350,0.2,5500,1100,0.33,9.9,0.8143786666666667,11.625708862096515,584.3343480000002
68,1100,350,0.2,5500,1100,0.33,9.9,0.8,10.652586279230096,538.530283
69,1100,350,0.2,5500,1100,0.33,9.9,0.8179733333333333,2.445820657123154,465.20923100000016
70,1100,350,0.2,5500,1100,0.33,9.9,0.8790826666666667,7.168281665461871,632.226523
71,1100,350,0.2,5500,1100,0.33,9.9,0.8143786666666667,0.41301060511639687,415.418115
72,1100,350,0.2,5500,1100,0.33,9.9,0.8467306666666667,8.56037229876114,435.89618500000006
73,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,10.399749319982185,429.46995
74,1100,350,0.2,5500,1100,0.33,9.9,0.8359466666666667,4.497801408885327,418.87079800000015
75,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,6.52552943635433,412.617247
76,1100,350,0.2,5500,1100,0.33,9.9,0.8323520000000001,7.750472577655759,429.888309
77,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,44.738701867137735,425.82565199999993
78,1100,350,0.2,5500,1100,0.33,9.9,0.8826773333333334,22.48988247222474,417.982381
79,1100,350,0.2,5500,1100,0.33,9.9,0.9042453333333333,17.12074460044703,436.802084
80,1100,350,0.2,5500,1100,0.33,9.9,0.8287573333333333,0.20650530255819843,415.554696
81,1100,350,0.2,5500,1100,0.33,9.9,0.8251626666666667,0.20650530255819843,413.085012
82,1100,350,0.2,5500,1100,0.33,9.9,0.8107840000000001,5.92010220535977,422.182609
83,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,1.222910328561577,415.73168500000014
84,1100,350,0.2,5500,1100,0.33,9.9,0.8323520000000001,0.20650530255819843,414.339294
85,1100,350,0.2,5500,1100,0.33,9.9,0.8,16.33438797823557,544.669878
86,1100,350,0.2,5500,1100,0.33,9.9,0.864704,29.10183578966595,463.461546
87,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,5.098146616512031,578.8296210000002
88,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,97.19917511571707,455.882495
89,1100,350,0.2,5500,1100,0.33,9.9,0.8179733333333333,0.826021210817744,448.590297
90,1100,350,0.2,5500,1100,0.33,9.9,0.950976,10.196293233609012,525.8985079999999
91,1100,350,0.2,5500,1100,0.33,9.9,0.8143786666666667,15.897834272470403,438.21747
92,1100,350,0.2,5500,1100,0.33,9.9,0.8215680000000001,58.6464150855292,599.1474929999998
93,1100,350,0.2,5500,1100,0.33,9.9,0.8,324.40297110251475,553.617603
94,1100,350,0.2,5500,1100,0.33,9.9,0.8,7.337461970784513,573.4605720000002
95,1100,350,0.2,5500,1100,0.33,9.9,0.8215680000000001,12.468867966364279,588.679762
96,1100,350,0.2,5500,1100,0.33,9.9,0.8143786666666667,18.542028990259073,454.278158
97,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,18.05975723273938,496.151875
98,1100,350,0.2,5500,1100,0.33,9.9,0.8179733333333333,1.222910328561577,540.928495
99,1100,350,0.2,5500,1100,0.33,9.9,0.8179733333333333,13.452013613592397,453.680662
100,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,91.3781632285223,593.133259
101,1100,350,0.2,5500,1100,0.33,9.9,0.8287573333333333,68.118473257542,444.74250200000006
102,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,32.7404975863602,599.7046339999998
103,1100,350,0.2,5500,1100,0.33,9.9,0.8395413333333334,4.119066588914112,567.9883609999998
104,1100,350,0.2,5500,1100,0.33,9.9,0.8359466666666667,15.923978814845473,621.114782
105,1100,350,0.2,5500,1100,0.33,9.9,0.8143786666666667,43.656201050886615,452.14236600000004
106,1100,350,0.2,5500,1100,0.33,9.9,0.8143786666666667,46.30838601093794,542.0231580000002
107,1100,350,0.2,5500,1100,0.33,9.9,0.8143786666666667,97.97108680927872,563.7390280000002
108,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,11.653886220721139,581.3345680000001
109,1100,350,0.2,5500,1100,0.33,9.9,0.8215680000000001,4.306401188499668,589.4094180000002
110,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,3.0653365633353733,622.7403310000002
111,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,27.017018601863384,586.4903479999998
112,1100,350,0.2,5500,1100,0.33,9.9,0.8287573333333333,13.077344411496531,528.9360409999998
113,1100,350,0.2,5500,1100,0.33,9.9,0.8359466666666667,7.750472577655759,525.02425
114,1100,350,0.2,5500,1100,0.33,9.9,0.85392,9.416603672754064,621.5546899999998
115,1100,350,0.2,5500,1100,0.33,9.9,0.8179733333333333,231.78796692319116,507.088933
116,1100,350,0.2,5500,1100,0.33,9.9,0.8251626666666667,17.12074460044703,424.010592
