,Total PV Energy
0,424.06510899999995
1,512.9867039999999
2,521.538488
3,518.424026
4,566.0999069999999
5,536.325791
6,517.238478
7,603.39957
8,520.963957
9,503.229426
10,600.478357
11,566.1624029999999
12,546.2984430000001
13,519.185249
14,512.947891
15,504.219538
16,604.1000230000001
17,536.8125390000001
18,464.92857200000003
19,468.63509899999997
20,465.22972999999996
21,477.307071
22,452.16695899999996
23,463.840976
24,466.26715499999995
25,465.166813
26,465.295456
27,452.17911000000004
28,470.180214
29,450.602164
30,477.459716
31,465.54735000000005
32,484.94332
33,498.99839899999995
34,476.02630700000003
35,481.34093399999995
36,465.354309
37,467.92948099999995
38,465.3562559999999
39,460.455899
40,506.164365
41,503.502734
42,481.69087500000006
43,465.25294999999994
44,464.67517599999996
45,472.754569
46,508.651153
47,466.088973
48,471.121951
49,464.67878599999995
50,455.05662199999995
51,589.5103959999999
52,517.595478
53,521.37804
54,567.8329259999999
55,623.166443
56,515.249351
57,451.54227000000003
58,422.420386
59,602.22016
60,619.770351
61,641.9917200000001
62,625.981507
63,625.925258
64,511.560435
65,635.923472
66,624.2643760000002
67,584.334348
68,538.530283
69,465.20923100000005
70,632.226523
71,415.418115
72,435.89618500000006
73,429.46995000000004
74,418.8707980000001
75,412.617247
76,429.888309
77,425.825652
78,417.982381
79,436.80208400000004
80,415.55469600000004
81,413.085012
82,422.182609
83,415.7316850000001
84,414.339294
85,544.669878
86,463.461546
87,578.8296210000001
88,455.882495
89,448.590297
90,525.8985079999999
91,438.21747
92,599.147493
93,553.617603
94,573.4605720000001
95,588.679762
96,454.278158
97,496.15187499999996
98,540.928495
99,453.680662
100,593.133259
101,444.74250200000006
102,599.704634
103,567.9883609999999
104,621.114782
105,452.14236600000004
106,542.0231580000001
107,563.739028
108,581.3345680000001
109,589.4094180000001
110,622.7403310000001
111,586.4903479999999
112,528.9360409999999
113,525.02425
114,621.5546899999999
115,507.088933
116,424.010592
117,421.01409599999994
118,609.167782
119,551.982739
120,555.312182
121,544.580314
122,616.3570709999999
123,420.258571
124,581.1350370000001
125,524.7530000000002
126,643.206515
127,621.8796709999999
128,639.0429300000001
129,622.907076
130,634.637956
131,646.597525
132,656.032805
133,645.372144
134,601.786076
135,600.241967
136,616.1363309999999
137,641.659531
138,627.222001
139,419.486802
140,422.29399600000005
141,414.738672
142,412.333409
143,417.378456
144,417.743057
145,597.159907
146,611.806531
147,619.987628
148,582.4925719999999
149,594.3478750000002
150,608.9956729999999
151,606.8017339999999
152,611.4686439999999
153,592.5798870000001
154,645.455305
155,622.182668
156,609.191429
157,577.381321
158,573.4629399999999
159,595.9262319999999
160,621.0664859999999
161,619.7630709999999
162,587.8608099999999
163,595.96712
164,592.2024319999999
165,621.943398
166,597.818166
167,609.8019989999999
168,638.5526929999999
169,619.903017
170,622.9039270000001
171,621.9251840000001
172,600.860616
173,601.076416
174,591.1501179999999
175,617.9295579999999
176,617.0155589999999
177,594.4985090000001
178,634.9999439999999
179,605.4336859999999
180,611.5652399999999
181,650.0853050000001
182,601.630383
183,645.5173619999999
184,597.022649
185,590.731579
186,591.286468
187,635.911575
188,639.793176
189,623.3510799999999
190,494.383806
191,446.8192700000001
192,479.290016
193,462.974462
194,575.947897
195,463.720815
196,460.52266499999996
197,459.904614
198,476.52321400000005
199,471.50853
200,467.431377
201,465.34635699999995
202,469.14181
203,465.179995
204,508.51364
205,472.127887
206,483.18218199999995
207,618.680046
208,502.041575
209,469.41524499999997
210,466.98390099999995
211,465.36467600000003
212,507.29541000000006
213,507.46159299999994
214,468.523543
215,495.105493
216,509.69429900000006
217,466.55646400000006
218,465.357142
219,473.322953
220,465.19964
221,465.71483200000006
222,467.77701299999995
223,468.95201399999996
224,465.523997
225,465.21112899999997
226,467.713684
227,512.897448
228,574.120778
229,437.30790599999995
230,523.475215
231,412.227335
232,615.2175730000001
233,420.31161
234,575.284077
235,465.87786600000004
236,478.590242
237,624.663745
238,564.162828
239,437.33988300000004
240,415.194953
241,431.91867099999996
242,413.61349299999995
243,429.62098199999997
244,431.20203599999996
245,416.056525
246,430.51106599999997
247,436.96719
248,436.13809499999996
249,587.77684
250,447.058266
251,453.28090100000003
252,511.94209500000005
253,577.3237240000001
254,497.985147
255,452.887486
256,514.761261
257,443.15902700000004
258,461.46028799999993
259,586.207691
260,465.559277
261,547.085515
262,536.167049
263,565.411626
264,461.09646299999997
265,516.098941
266,587.075358
267,575.8286500000002
268,558.309173
269,598.6548710000001
270,607.6887520000001
271,444.80046600000003
272,620.4096320000001
