,2025
1.Population_Grid,11674070.490593864
1.Population_MG_Hybrid_LowLands,57554.843784599994
1.Population_MG_Hybrid_HighLands,46587.43693759998
1.Population_SHS,675965.2288754968
2.New_Connections_Grid,3277003.7802237174
2.New_Connections_MG_Hybrid_LowLands,42751.28105703398
2.New_Connections_MG_Hybrid_HighLands,40612.583666656
2.New_Connections_SHS,494925.1671398186
3.Capacity_Grid,278123.02261323924
3.Capacity_MG_Hybrid_LowLands,3353.1182775422126
3.Capacity_MG_Hybrid_HighLands,4267.110908036479
3.Capacity_SHS,217129.95718415696
4.Investment_Grid,1105090422.209244
4.Investment_MG_Hybrid_LowLands,28163189.563132036
4.Investment_MG_Hybrid_HighLands,20548651.248715945
4.Investment_SHS,187166023.09274387
5.NPC_Grid,1611593159.294534
5.NPC_MG_Hybrid_LowLands,29933579.11943077
5.NPC_MG_Hybrid_HighLands,29925585.627105087
5.NPC_SHS,230302507.91999742
