,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025
50,Non,Lowlands,251,59.922606088403214,99.0,0.46052492,99.0,99.0,MG_Hybrid_LowLands2025,0.46052492,204.88103,-1.1373687,5.9378886,4.597592400000001,9.398112,120765.56,549.5486,112592.08,0.0
100,SA_Diesel2012,Highlands,3326,91.3781632285223,99.0,99.0,0.36961859999999996,99.0,MG_Hybrid_HighLands2025,0.36961859999999996,312.43054,-5.52882,10.301082000000001,25.322407000000002,30.094666999999998,163237.56,380.93762000000004,119016.55,0.0
101,SA_PV2012,Highlands,1041,68.11847325754199,99.0,99.0,0.39147097,99.0,MG_Hybrid_HighLands2025,0.39147097,232.90347000000003,-8.024239,8.054001,20.129542999999998,20.159306,142467.11,417.07864,97139.06,0.0
107,SA_PV2012,Highlands,4120,97.97108680927872,99.0,99.0,0.39009756,99.0,MG_Hybrid_HighLands2025,0.39009756,334.97235,-6.0000815,10.940122,26.960024,31.900063,184012.67,404.46442,135484.4,0.0
196,SA_Diesel2012,Lowlands,351,66.47543748483159,99.0,0.46158856,99.0,99.0,MG_Hybrid_LowLands2025,0.46158856,227.28578,-1.0236473,6.419668,4.9131,10.30912,130853.88,535.7618,121771.04,0.0
244,SA_Diesel2012,Lowlands,160,78.39887093035661,99.0,0.5531526999999999,99.0,99.0,MG_Hybrid_LowLands2025,0.5531526999999999,268.0531,-1.441033,7.2962003,5.88739,11.742558,181000.83,621.4294,166576.08,0.0
257,SA_PV2012,Lowlands,193,51.79557249729663,99.0,0.48275712,99.0,99.0,MG_Hybrid_LowLands2025,0.48275712,177.09393,-1.3981881,5.3403482,3.933131,7.875291000000001,113483.06,596.92883,105712.48,0.0
271,Non,Highlands,1621,58.699695777975094,99.0,99.0,0.3962806,99.0,MG_Hybrid_HighLands2025,0.3962806,200.69978,-8.2603655,7.1422935,18.113575,16.995504,127133.54,425.25635,85348.85,0.0
309,SA_PV2012,Highlands,3702,183.89256033995673,99.0,99.0,0.32145455,99.0,MG_Hybrid_HighLands2025,0.32145455,628.746,-1.6793878,19.255178,49.35125,66.92704,265926.75,301.02924,189270.92,0.0
329,SA_PV2012,Highlands,3642,60.774037439458255,99.0,99.0,0.41154054,99.0,MG_Hybrid_HighLands2025,0.41154054,207.79214,-6.186815,7.338224,18.358535999999997,19.509943,127141.61,450.82254000000006,93677.38,0.0
400,SA_PV2012,Lowlands,158,80.86358026808682,99.0,0.5640359,99.0,99.0,MG_Hybrid_LowLands2025,0.5640359,276.4802,-1.5243418,7.4773765,6.3491693,12.302204,190545.12,633.74396,175217.66,0.0
434,SA_PV2012,Highlands,4133,54.03068124459283,99.0,99.0,0.43513509999999994,99.0,MG_Hybrid_HighLands2025,0.43513509999999994,184.73598,-5.662243,6.684823,16.927553,17.950134,122521.164,489.87592,90497.7,0.0
435,SA_PV2012,Highlands,4415,63.47532128833297,99.0,99.0,0.46172209999999997,99.0,MG_Hybrid_HighLands2025,0.46172209999999997,217.02809,-7.5150885999999995,7.6014113,19.026358,19.112679999999997,147433.16,509.47025,110569.36,0.0
445,SA_PV2012,Highlands,3893,50.53098958068684,99.0,99.0,0.4345915,99.0,MG_Hybrid_HighLands2025,0.4345915,172.7702,-6.048774,6.3463525999999995,16.242058,16.539637,115465.61,492.63162,85112.07,0.0
507,SA_PV2012,Highlands,3877,53.01427621712707,99.0,99.0,0.43830454,99.0,MG_Hybrid_HighLands2025,0.43830454,181.2608,-6.995005,6.587700999999999,16.762053,16.354748,120072.06,491.90173,89162.5,0.0
535,SA_PV2012,Lowlands,232,59.1652774448736,99.0,0.4940428,99.0,99.0,MG_Hybrid_LowLands2025,0.4940428,202.29166,-1.0105366,5.882235,4.074542,8.94624,126405.15,580.3276,117395.414,0.0
554,SA_PV2012,Highlands,3699,160.10731151357803,99.0,99.0,0.35996,99.0,MG_Hybrid_HighLands2025,0.35996,547.4219400000001,-1.8940488000000002,16.952656,42.82249,57.881096,263575.78,351.73962,192549.98,0.0
577,SA_Diesel2012,Lowlands,146,52.60126562195483,99.0,0.48662925,99.0,99.0,MG_Hybrid_LowLands2025,0.48662925,179.84868,-1.6285143,5.399525,4.263147,8.034158,116988.67,605.47833,108894.484,0.0
