,2025
1.Population_Grid,11707913.491363363
1.Population_MG_Hybrid_LowLands,43614.57141419998
1.Population_MG_Hybrid_HighLands,26684.708538499992
1.Population_SHS,675965.2288754968
2.New_Connections_Grid,3306968.589878091
2.New_Connections_MG_Hybrid_LowLands,30388.572122620997
2.New_Connections_MG_Hybrid_HighLands,23010.482946692005
2.New_Connections_SHS,494925.1671398186
3.Capacity_Grid,279667.937322315
3.Capacity_MG_Hybrid_LowLands,2497.599087146321
3.Capacity_MG_Hybrid_HighLands,2414.310772540299
3.Capacity_SHS,217129.95718415696
4.Investment_Grid,1134744212.9089327
4.Investment_MG_Hybrid_LowLands,23606771.879806783
4.Investment_MG_Hybrid_HighLands,13057634.622421836
4.Investment_SHS,187166023.09274387
5.NPC_Grid,1634557266.416732
5.NPC_MG_Hybrid_LowLands,24908872.364913102
5.NPC_MG_Hybrid_HighLands,18954672.808530778
5.NPC_SHS,230302507.91999742
