,Energy
0,1748.893
1,2176.675
2,2196.248
3,2200.968
4,2288.31
5,2235.439
6,2186.538
7,2410.583
8,2199.173
9,2154.28
10,2401.918
11,2291.673
12,2250.424
13,2187.873
14,2176.909
15,2156.355
16,2388.827
17,2213.455
18,1994.156
19,2016.572
20,1997.95
21,2063.798
22,1940.335
23,1992.303
24,2002.693
25,1992.066
26,1991.002
27,1943.575
28,2027.776
29,1948.277
30,2045.392
31,1999.28
32,2046.617
33,2089.477
34,2065.034
35,2040.687
36,1991.889
37,2024.097
38,1991.746
39,1973.405
40,2151.468
41,2105.603
42,2035.683
43,1998.006
44,2007.155
45,2033.261
46,2106.052
47,1997.666
48,2027.987
49,1996.971
50,1954.831
51,2357.543
52,2188.22
53,2188.08
54,2270.981
55,2502.288
56,2065.012
57,1861.091
58,1805.464
59,2407.543
60,2474.119
61,2574.862
62,2502.184
63,2499.354
64,2066.875
65,2530.873
66,2482.411
67,2358.121
68,2173.737
69,1992.792
70,2526.515
71,1769.732
72,1840.501
73,1828.957
74,1790.53
75,1773.089
76,1823.544
77,1817.236
78,1798.649
79,1848.471
80,1782.919
81,1772.538
82,1805.114
83,1787.038
84,1779.878
85,2202.002
86,1937.513
87,2326.532
88,1930.274
89,1921.751
90,2093.293
91,1872.642
92,2402.456
93,2245.074
94,2322.296
95,2366.733
96,1908.761
97,2037.97
98,2236.107
99,1934.988
100,2386.867
101,1857.445
102,2393.758
103,2259.346
104,2489.6
105,1868.226
106,2156.578
107,2236.169
108,2303.657
109,2339.277
110,2489.745
111,2330.528
112,2107.996
113,2100.744
114,2488.028
115,2076.12
116,1782.825
117,1799.768
118,2438.122
119,2191.373
120,2205.207
121,2166.385
122,2467.25
123,1791.913
124,2308.711
125,2089.96
126,2583.468
127,2492.902
128,2556.227
129,2500.032
130,2525.079
131,2566.806
132,2626.474
133,2575.925
134,2401.717
135,2400.178
136,2467.591
137,2581.045
138,2517.207
139,1797.317
140,1815.825
141,1778.121
142,1777.487
143,1788.829
144,1789.317
145,2402.972
146,2445.325
147,2481.582
148,2359.918
149,2387.84
150,2436.956
151,2429.492
152,2442.717
153,2382.079
154,2550.922
155,2467.276
156,2441.782
157,2344.641
158,2339.827
159,2393.842
160,2470.547
161,2484.821
162,2376.649
163,2396.414
164,2390.371
165,2487.864
166,2401.619
167,2432.816
168,2532.691
169,2460.272
170,2475.873
171,2477.764
172,2414.012
173,2408.946
174,2386.225
175,2468.043
176,2465.987
177,2393.165
178,2518.361
179,2426.48
180,2436.417
181,2578.025
182,2412.14
183,2554.146
184,2399.965
185,2388.708
186,2379.56
187,2520.552
188,2538.441
189,2476.705
190,2067.31
191,1918.745
192,2068.584
193,1999.717
194,2279.026
195,1991.761
196,1976.44
197,1971.779
198,2028.869
199,2029.046
200,2004.682
201,1998.468
202,2014.867
203,1992.468
204,2161.441
205,2036.482
206,2077.982
207,2478.828
208,2143.098
209,2015.924
210,2003.599
211,1992.053
212,2158.405
213,2128.996
214,2012.951
215,2112.778
216,2162.06
217,2001.681
218,1991.854
219,2035.132
220,1992.663
221,1993.294
222,2013.445
223,2012.445
224,1999.158
225,1990.979
226,2006.527
227,2173.862
228,2311.536
229,1846.095
230,2082.696
231,1766.925
232,2470.653
233,1796.735
234,2314.186
235,1997.152
236,2037.656
237,2502.301
238,2236.368
239,1866.293
240,1781.417
241,1832.042
242,1774.764
243,1823.925
244,1837.5
245,1786.589
246,1836.641
247,1845.291
248,1861.948
249,2371.351
250,1913.937
251,1916.085
252,2045.065
253,2326.451
254,2009.877
255,1931.533
256,2102.494
257,1900.729
258,1954.072
259,2352.094
260,1941.31
261,2244.922
262,2203.713
263,2259.335
264,1948.258
265,2084.575
266,2356.101
267,2328.837
268,2274.401
269,2401.204
270,2428.859
271,1858.929
272,2486.195
273,2496.991
274,2279.456
275,2236.187
276,2267.191
277,1924.314
278,2310.239
279,2046.717
280,2372.716
281,2486.472
282,2130.035
283,2074.176
284,2306.345
285,2413.81
286,2210.56
287,2493.896
288,1838.307
289,1901.557
290,2295.887
291,2507.936
292,2585.374
293,2553.799
294,2586.967
295,2548.88
296,2480.424
297,2554.853
298,2575.618
299,2521.867
300,2503.033
301,2444.063
302,2525.925
303,2571.788
304,2448.29
305,2575.75
306,2587.155
307,2396.908
308,2559.74
309,2503.822
310,2477.114
311,1779.936
312,1792.548
313,2401.46
314,2384.141
315,2336.034
316,2507.841
317,2418.33
318,2383.7
319,2411.518
320,2383.529
321,2304.484
322,2338.138
323,2463.574
324,2403.728
325,2633.013
326,2438.288
327,2471.558
328,2438.112
329,2438.374
330,2476.116
331,2393.485
332,2317.067
333,2327.788
334,2416.591
335,2493.994
336,2016.141
337,2557.339
338,2440.526
339,2448.025
340,2447.776
341,2001.423
342,2031.561
343,2056.63
344,2100.136
345,2154.603
346,1995.45
347,1992.461
348,1991.928
349,1993.279
350,1996.751
351,1992.477
352,1991.73
353,2013.641
354,2148.284
355,2001.178
356,2005.392
357,2036.872
358,2142.021
359,2030.495
360,1993.145
361,2167.676
362,2000.76
363,2039.124
364,2049.692
365,1944.007
366,1991.527
367,2062.959
368,2050.971
369,2175.771
370,2222.427
371,2391.857
372,2212.66
373,2381.998
374,2235.085
375,2476.899
376,2031.013
377,2489.816
378,2563.061
379,2510.991
380,2563.082
381,2566.51
382,2567.71
383,2316.065
384,2298.271
385,2332.284
386,2476.48
387,2495.973
388,2567.909
389,2426.145
390,2343.186
391,1768.692
392,1846.229
393,1770.293
394,1773.0
395,1769.99
396,1812.866
397,1955.961
398,1767.964
399,1768.072
400,1784.341
401,1854.65
402,1801.205
403,1822.674
404,1779.701
405,2177.655
406,1916.05
407,2329.878
408,2243.737
409,1919.663
410,2054.958
411,2217.197
412,2212.483
413,2308.55
414,2367.474
415,2303.164
416,2326.299
417,2169.145
418,2203.52
419,2259.957
420,2301.869
421,2322.448
422,2486.536
423,1758.302
424,1923.117
425,1880.582
426,1881.526
427,1864.531
428,2443.418
429,2304.061
430,1783.453
431,1873.348
432,2204.716
433,2244.362
434,2516.561
435,2199.1
436,2491.34
437,2328.649
438,2193.13
439,2281.201
440,2519.954
441,2486.665
442,2566.37
443,2558.311
444,2489.005
445,2494.416
446,2500.778
447,2524.049
448,2493.447
449,2543.758
450,2498.582
451,2494.382
452,2450.338
453,2505.192
454,2543.277
455,2492.418
456,2402.462
457,2581.809
458,2517.834
459,2560.162
460,2562.834
461,2494.459
462,2491.652
463,1815.333
464,1797.776
465,1768.711
466,1773.373
467,1790.724
468,1779.816
469,1786.64
470,2485.51
471,2379.669
472,2388.733
473,2455.965
474,2494.318
475,2453.761
476,2359.762
477,2386.202
478,2411.283
479,2575.352
480,2461.467
481,2554.603
482,2473.258
483,2557.847
484,2494.166
485,2464.587
486,2417.347
487,2438.361
488,2474.648
489,2428.929
490,2376.139
491,2429.981
492,2378.652
493,2454.113
494,2553.623
495,2622.784
496,2342.348
497,2511.647
498,2380.955
499,2475.818
500,2512.49
501,2438.034
