,Renewable Invesment Cost,Battery Unitary Invesment Cost,Deep of Discharge,Battery Cycles,GenSet Unitary Invesment Cost,Generator Efficiency,Low Heating Value,Fuel Cost,HouseHolds,Renewable Energy Unit Total
0,1500,550,0.2,5500,1480,0.314,9.89,0.616176,34.49345073526862,424.08347140246946
1,1500,550,0.2,5500,1480,0.314,9.89,0.602696,26.904027230109545,512.9816641563476
2,1500,550,0.2,5500,1480,0.314,9.89,0.602696,19.733878555476576,521.5432640362136
3,1500,550,0.2,5500,1480,0.314,9.89,0.610784,6.52552943635433,518.4239298987184
4,1500,550,0.2,5500,1480,0.314,9.89,0.602696,59.79004120726994,566.1193222100325
5,1500,550,0.2,5500,1480,0.314,9.89,0.610784,16.194829051470258,536.3731397027792
6,1500,550,0.2,5500,1480,0.314,9.89,0.6,8.392067406612853,517.2425626834681
7,1500,550,0.2,5500,1480,0.314,9.89,0.602696,23.337841628677932,603.3834764333839
8,1500,550,0.2,5500,1480,0.314,9.89,0.6,101.686933437393,520.9586409816645
9,1500,550,0.2,5500,1480,0.314,9.89,0.608088,20.011818822223002,503.22953090168335
10,1500,550,0.2,5500,1480,0.314,9.89,0.602696,13.103347951609301,600.4614308661977
11,1500,550,0.2,5500,1480,0.314,9.89,0.610784,14.184520927825368,566.1509227776653
12,1500,550,0.2,5500,1480,0.314,9.89,0.635048,14.369681729372319,546.2453053945067
13,1500,550,0.2,5500,1480,0.314,9.89,0.602696,28.114172091852268,519.1910646707295
14,1500,550,0.2,5500,1480,0.314,9.89,0.602696,28.396771393898042,512.9417870337439
15,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,33.185751172656175,504.2182896785386
16,1500,550,0.2,5500,1480,0.314,9.89,0.602696,7.998368497079718,604.0820264320814
17,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,24.2156994856861,536.8148897852133
18,1500,550,0.2,5500,1480,0.314,9.89,0.61348,34.8870086747117,464.93040149305466
19,1500,550,0.2,5500,1480,0.314,9.89,0.6242639999999999,0.20650530255819843,468.6323685510508
20,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,1.4294156311197752,465.234537630826
21,1500,550,0.2,5500,1480,0.314,9.89,0.62696,14.674923941569025,477.3082012782117
22,1500,550,0.2,5500,1480,0.314,9.89,0.632352,1.8424262353587468,452.1769667557621
23,1500,550,0.2,5500,1480,0.314,9.89,0.672792,20.78947558730166,463.8440189379067
24,1500,550,0.2,5500,1480,0.314,9.89,0.6242639999999999,0.20650530255819843,466.2672111294172
25,1500,550,0.2,5500,1480,0.314,9.89,0.61348,93.51035321927121,465.1697589683762
26,1500,550,0.2,5500,1480,0.314,9.89,0.61348,0.20650530255819843,465.2981340138173
27,1500,550,0.2,5500,1480,0.314,9.89,0.6808799999999999,40.35604082907818,452.18920574068255
28,1500,550,0.2,5500,1480,0.314,9.89,0.610784,2.653342365466329,470.18091910136206
29,1500,550,0.2,5500,1480,0.314,9.89,0.608088,374.0610094064002,450.60274533085334
30,1500,550,0.2,5500,1480,0.314,9.89,0.602696,141.0847043196672,477.4582681207432
31,1500,550,0.2,5500,1480,0.314,9.89,0.616176,1.222910328561577,465.5417943286912
32,1500,550,0.2,5500,1480,0.314,9.89,0.610784,10.810727116453378,484.94594163411057
33,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,0.6195159073821203,498.999216043273
34,1500,550,0.2,5500,1480,0.314,9.89,0.608088,18.80502998980824,476.02959723145324
35,1500,550,0.2,5500,1480,0.314,9.89,0.6,5.508108005150924,481.3474921512316
36,1500,550,0.2,5500,1480,0.314,9.89,0.621568,3.6687309868546314,465.35547924201967
37,1500,550,0.2,5500,1480,0.314,9.89,0.61348,1.222910328561577,467.93014103963134
38,1500,550,0.2,5500,1480,0.314,9.89,0.6242639999999999,1.4294156311197752,465.3571104806884
39,1500,550,0.2,5500,1480,0.314,9.89,0.616176,43.33585374686569,460.45846202919347
40,1500,550,0.2,5500,1480,0.314,9.89,0.61348,8.56037229876114,506.16716390869317
41,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,5.098146616512031,503.5021958271344
42,1500,550,0.2,5500,1480,0.314,9.89,0.61348,9.809427172037587,481.7060950986965
43,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,1.222910328561577,465.2579073597197
44,1500,550,0.2,5500,1480,0.314,9.89,0.670096,2.8739363429497122,464.67092812627135
45,1500,550,0.2,5500,1480,0.314,9.89,0.651224,24.588053878706805,472.74736702462127
46,1500,550,0.2,5500,1480,0.314,9.89,0.608088,231.90975100954847,508.6411123053485
47,1500,550,0.2,5500,1480,0.314,9.89,0.616176,2.653342365466329,466.0860604608281
48,1500,550,0.2,5500,1480,0.314,9.89,0.651224,0.20650530255819843,471.11996075033096
49,1500,550,0.2,5500,1480,0.314,9.89,0.618872,18.542028990259073,464.6832726089845
50,1500,550,0.2,5500,1480,0.314,9.89,0.6620079999999999,59.92260608840322,455.0547731898885
51,1500,550,0.2,5500,1480,0.314,9.89,0.6,5.162632577116341,589.5279888312198
52,1500,550,0.2,5500,1480,0.314,9.89,0.6,1.4294156311197752,517.591221973517
53,1500,550,0.2,5500,1480,0.314,9.89,0.6,4.5149393023353435,521.38099885674
54,1500,550,0.2,5500,1480,0.314,9.89,0.6,7.771676088981129,567.8459315286824
55,1500,550,0.2,5500,1480,0.314,9.89,0.6,19.56656525640028,623.1784859244624
56,1500,550,0.2,5500,1480,0.314,9.89,0.62696,2.0489315387943705,515.2920974770559
57,1500,550,0.2,5500,1480,0.314,9.89,0.621568,3.6687309868546314,451.5415761132696
58,1500,550,0.2,5500,1480,0.314,9.89,0.645832,1.2390318147642405,422.42054657942003
59,1500,550,0.2,5500,1480,0.314,9.89,0.602696,5.306684728885331,602.2180707825531
60,1500,550,0.2,5500,1480,0.314,9.89,0.6,11.961327085493373,619.7716883331708
61,1500,550,0.2,5500,1480,0.314,9.89,0.621568,20.78947558730166,641.9871400294395
62,1500,550,0.2,5500,1480,0.314,9.89,0.6,29.38005804338847,625.9649796744183
63,1500,550,0.2,5500,1480,0.314,9.89,0.602696,1.0325265113286157,625.9145160029707
64,1500,550,0.2,5500,1480,0.314,9.89,0.608088,15.763805170146892,511.50194656400976
65,1500,550,0.2,5500,1480,0.314,9.89,0.608088,12.520281637940059,635.9276437499641
66,1500,550,0.2,5500,1480,0.314,9.89,0.656616,18.375897916622637,624.2550217400842
67,1500,550,0.2,5500,1480,0.314,9.89,0.610784,11.625708862096515,584.3511107829341
68,1500,550,0.2,5500,1480,0.314,9.89,0.6,10.652586279230096,538.5016901232187
69,1500,550,0.2,5500,1480,0.314,9.89,0.61348,2.445820657123154,465.2125365637551
70,1500,550,0.2,5500,1480,0.314,9.89,0.659312,7.168281665461871,632.2284141394741
71,1500,550,0.2,5500,1480,0.314,9.89,0.610784,0.41301060511639687,415.421432573517
72,1500,550,0.2,5500,1480,0.314,9.89,0.635048,8.56037229876114,435.8991863090624
73,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,10.399749319982185,429.475872259496
74,1500,550,0.2,5500,1480,0.314,9.89,0.62696,4.497801408885327,418.8679448247129
75,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,6.52552943635433,412.6156864035582
76,1500,550,0.2,5500,1480,0.314,9.89,0.6242639999999999,7.750472577655759,429.88874190325447
77,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,44.738701867137735,425.82349780586287
78,1500,550,0.2,5500,1480,0.314,9.89,0.6620079999999999,22.48988247222474,417.9762129529944
79,1500,550,0.2,5500,1480,0.314,9.89,0.678184,17.12074460044703,436.79220899491247
80,1500,550,0.2,5500,1480,0.314,9.89,0.621568,0.20650530255819843,415.55071983257454
81,1500,550,0.2,5500,1480,0.314,9.89,0.618872,0.20650530255819843,413.0818549186043
82,1500,550,0.2,5500,1480,0.314,9.89,0.608088,5.92010220535977,422.1772599172492
83,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,1.222910328561577,415.7273102053703
84,1500,550,0.2,5500,1480,0.314,9.89,0.6242639999999999,0.20650530255819843,414.3409029550119
85,1500,550,0.2,5500,1480,0.314,9.89,0.6,16.33438797823557,544.6701692234105
86,1500,550,0.2,5500,1480,0.314,9.89,0.648528,29.10183578966595,463.4524305015337
87,1500,550,0.2,5500,1480,0.314,9.89,0.602696,5.098146616512031,578.8006473720687
88,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,97.19917511571707,455.8845868986586
89,1500,550,0.2,5500,1480,0.314,9.89,0.61348,0.826021210817744,448.61110768089964
90,1500,550,0.2,5500,1480,0.314,9.89,0.713232,10.196293233609012,525.8714527295712
91,1500,550,0.2,5500,1480,0.314,9.89,0.610784,15.897834272470403,438.22276132857314
92,1500,550,0.2,5500,1480,0.314,9.89,0.616176,58.6464150855292,599.1173488343842
93,1500,550,0.2,5500,1480,0.314,9.89,0.6,324.40297110251475,553.6206950856433
94,1500,550,0.2,5500,1480,0.314,9.89,0.6,7.337461970784513,573.4678667186855
95,1500,550,0.2,5500,1480,0.314,9.89,0.616176,12.468867966364279,588.6747444886372
96,1500,550,0.2,5500,1480,0.314,9.89,0.610784,18.542028990259073,454.2464298135391
97,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,18.05975723273938,496.1860792204464
98,1500,550,0.2,5500,1480,0.314,9.89,0.61348,1.222910328561577,540.8890146180138
99,1500,550,0.2,5500,1480,0.314,9.89,0.61348,13.452013613592397,453.69358290264296
100,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,91.3781632285223,593.1561730313158
101,1500,550,0.2,5500,1480,0.314,9.89,0.621568,68.118473257542,444.7391070263894
102,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,32.7404975863602,599.6646417089951
103,1500,550,0.2,5500,1480,0.314,9.89,0.629656,4.119066588914112,567.8942287412093
104,1500,550,0.2,5500,1480,0.314,9.89,0.62696,15.923978814845473,621.1221645080086
105,1500,550,0.2,5500,1480,0.314,9.89,0.610784,43.656201050886615,452.1010981474095
106,1500,550,0.2,5500,1480,0.314,9.89,0.610784,46.30838601093794,542.0290922281565
107,1500,550,0.2,5500,1480,0.314,9.89,0.610784,97.97108680927872,563.7791284889028
108,1500,550,0.2,5500,1480,0.314,9.89,0.602696,11.653886220721139,581.3132613934605
109,1500,550,0.2,5500,1480,0.314,9.89,0.616176,4.306401188499668,589.405707675503
110,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,3.0653365633353733,622.7395802184527
111,1500,550,0.2,5500,1480,0.314,9.89,0.602696,27.017018601863384,586.4895203522748
112,1500,550,0.2,5500,1480,0.314,9.89,0.621568,13.077344411496531,528.902918623753
113,1500,550,0.2,5500,1480,0.314,9.89,0.62696,7.750472577655759,525.0580476673815
114,1500,550,0.2,5500,1480,0.314,9.89,0.64044,9.416603672754064,621.5722484614741
115,1500,550,0.2,5500,1480,0.314,9.89,0.61348,231.78796692319116,507.0917048012876
116,1500,550,0.2,5500,1480,0.314,9.89,0.618872,17.12074460044703,424.01109661703055
117,1500,550,0.2,5500,1480,0.314,9.89,0.632352,0.41301060511639687,421.00840450535713
118,1500,550,0.2,5500,1480,0.314,9.89,0.616176,9.38232788877878,609.1635584777557
119,1500,550,0.2,5500,1480,0.314,9.89,0.6,1.4455371152751137,551.9701549755537
120,1500,550,0.2,5500,1480,0.314,9.89,0.62696,12.293589232766225,555.3021373507192
121,1500,550,0.2,5500,1480,0.314,9.89,0.602696,3.490403036194131,544.5212886800663
122,1500,550,0.2,5500,1480,0.314,9.89,0.62696,30.056210652071197,616.3577931850493
123,1500,550,0.2,5500,1480,0.314,9.89,0.621568,2.4629585464785184,420.25968671687
124,1500,550,0.2,5500,1480,0.314,9.89,0.6242639999999999,26.396204330090274,581.1687738487619
125,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,6.551673981654151,524.7666161043052
126,1500,550,0.2,5500,1480,0.314,9.89,0.608088,3.6687309868546314,643.2027037792068
127,1500,550,0.2,5500,1480,0.314,9.89,0.616176,107.74508077964211,621.8914731014877
128,1500,550,0.2,5500,1480,0.314,9.89,0.610784,23.191163213695386,639.045428512201
129,1500,550,0.2,5500,1480,0.314,9.89,0.602696,62.3833908514669,622.9170801121128
130,1500,550,0.2,5500,1480,0.314,9.89,0.602696,64.82502968917387,634.6441184282937
