,0
0,98481.97288154515
1,81978.72209145874
2,55899.336323042226
3,58967.910551663925
4,100482.76325582512
5,53424.23180713007
6,45994.62731477547
7,60537.52459695077
8,129476.74913689993
9,84432.96883210898
10,49863.845322997164
11,50599.15428525237
12,51319.34611448032
13,67763.24889554018
14,75975.94417420542
15,73471.81050267829
16,44330.780975553476
17,63512.73903497032
18,102982.15036272872
19,44678.79630108498
20,47949.63908795762
21,68055.99373284918
22,52282.24107149015
23,75949.90322152321
24,28331.410031135136
25,196766.41231439565
26,44645.70394039806
27,97481.50498943523
28,50669.10769211121
29,318823.08261172246
30,280423.3864392936
31,45027.326445966406
32,67595.70245587156
33,50110.12027533383
34,87027.4777436786
35,58341.32172465147
36,51059.72233007035
37,45030.82159469146
38,36529.16802859877
39,93761.67614315735
40,59645.43313049301
41,53560.462248255135
42,72197.34520226647
43,45004.59291373694
44,60135.03729396575
45,110724.89526987281
46,229131.61650401837
47,50668.46556306789
48,44742.3105454896
49,73632.50056222809
50,116284.41974701385
51,36680.62963793295
52,36821.849890878104
53,39753.37908094709
54,49151.363697163826
55,69890.39697036009
56,54473.77302502206
57,51039.730419881045
58,55388.285796281554
59,55711.62978538375
60,43371.42906742462
61,69718.9620533314
62,87135.49702477487
63,28713.16150693273
64,56044.12121043846
65,83371.14417272224
66,66522.66078072882
67,66194.45093278584
68,48832.86275398701
69,48343.044025227835
70,65778.39618226125
71,29133.546147683388
72,59608.04673667712
73,65246.30457444234
74,58067.90996927998
75,58799.813707780995
76,60628.76167720432
77,126137.05473328629
78,94792.88181938141
79,71565.72838576169
80,44707.97124845677
81,44713.8929461322
82,61184.33966411106
83,45067.43344899622
84,44715.77462293467
85,49526.18556949118
86,68052.34608979397
87,54972.18056204048
88,118830.81343372415
89,30209.140790267524
90,67102.7113870637
91,69570.4826876666
92,106088.60317868153
93,353799.6725447611
94,57313.44967507096
95,55665.589290680655
96,92508.9263876619
97,56985.52919841399
98,45541.612877414766
99,66382.34036731104
100,140463.36987747517
101,127765.89789839747
102,72753.36363407515
103,37482.154544708545
104,61561.38124131103
105,117964.50333181329
106,112581.39556477961
107,161975.09600476874
108,52918.02670358214
109,39076.05038936081
110,52417.59269108216
111,70120.57627456689
112,60430.658631470375
113,60899.90303097547
114,46271.152256822344
115,234066.50927379125
116,71211.20738186805
117,47647.23517810661
118,56932.87573922533
119,31986.811408873265
120,51410.24212387615
121,36736.88623043539
122,76654.86378616386
123,57271.96992722078
124,67232.17107954004
125,43135.81119265017
126,47422.82953846705
127,164068.44335877732
128,56353.73715955397
129,135634.02480205172
130,97487.4979851763
131,54931.243028025856
132,90203.9123596797
133,57416.519701378595
134,63567.16458707383
135,56766.42165809426
136,58462.01346378146
137,69734.10159576024
138,63900.58826229173
139,48030.12043567249
140,61061.23741522566
141,59599.41706036104
142,89874.70415885528
143,91153.81323081176
144,62026.919107904105
145,40836.86095716234
146,48896.20730143193
147,41368.04477196852
148,107618.23740381416
149,58439.72030320676
150,45070.501261827376
151,99234.26900474724
152,46493.3860905183
153,54551.560776010476
154,46898.36509997599
155,69196.41635193277
156,51685.660931060556
157,70507.83419442856
158,66059.52964877857
159,61451.841485423094
160,65707.13202551808
161,199518.18020100595
162,57458.19115827136
163,54222.178103449296
164,130886.47459353466
165,34383.75336969591
166,97249.87102481235
167,32788.92044788929
168,69750.02987529057
169,94958.47766642674
170,60420.51999791578
171,43234.71313084064
172,74474.6971602235
173,93042.14068262815
174,96460.11386438433
175,59882.82656703135
176,314569.9194477058
177,133586.339477261
178,42405.30906504656
179,68910.17555506955
180,65751.3639917697
181,51078.004706300606
182,65245.65418032768
183,56362.39756201098
184,44824.13932246227
185,70216.1707847662
186,61165.04109421336
187,57719.026812635486
188,45152.3888909174
189,69203.49884673071
190,82007.79342611959
191,86363.33619643614
192,62185.49217886034
193,63295.04641127949
194,140356.47949386705
195,69674.98638735767
196,126063.96171552884
197,55861.4623848087
198,37832.39903317228
199,44744.99189727806
200,33104.676653146045
201,35172.668258771395
202,53433.73893333362
203,28313.388132040534
204,286429.3936066911
205,53482.11522543595
206,44727.60869446155
207,60024.22752704256
208,30966.124983848196
209,76952.80826581322
210,35925.92100897842
211,29709.994818198054
212,45308.85979727146
213,57046.46733070225
214,55194.724304569536
215,68732.03239335387
216,40439.07389138109
217,57871.65602527899
218,28323.080952151533
219,197243.53769806743
220,49896.19973809896
221,45017.02685875009
222,45030.214522732276
223,69319.12052108301
224,37260.53303723483
225,55596.16269826511
226,44897.52289351011
227,53656.27176718889
228,75575.37059297529
229,64178.63500723826
230,30128.825342842392
231,50447.92701396269
232,27144.640030526993
233,58028.32837291903
234,66560.01152564115
235,36170.436003270624
236,76814.66493860641
237,66024.93553236141
238,126396.01317767407
239,67299.61899856116
240,45094.417075675214
241,106743.19819287825
242,49968.723423374046
243,79828.28850981286
244,172396.51832744965
245,70373.50604981476
246,54427.082863364194
247,53432.20797413033
248,48327.81044902766
249,55183.892695381364
250,42811.8552661382
251,127475.72294903114
252,58157.66451945988
253,70026.31148657529
254,91194.48987023874
255,35216.21448404862
256,55155.95373645294
257,108739.22361212785
258,86377.27527704783
259,72440.71729070455
260,74271.4828786549
261,73642.0990635821
262,71664.38898446171
263,62878.71245322676
264,85267.21171077996
265,48819.41675445638
266,50128.26308205516
267,43651.59115390631
268,69216.65689549135
269,38877.640026343
270,80163.67104409268
271,114518.68481582677
272,60491.327540515544
273,67873.45451062526
274,52922.53760691047
275,49308.749289493346
276,57280.0732704637
277,112768.33580594364
278,61012.641481076236
279,64771.75554754665
280,77689.92097319625
281,34936.681636405425
282,58602.83184503785
283,43278.68556191017
284,77639.08085075162
285,51959.37322085722
286,79821.23836879933
287,62095.952105644465
288,30708.593501992502
289,66868.32423263064
290,145330.43587007822
291,68764.66177411957
292,41892.787959584646
293,72168.22515311516
294,41789.243026433745
295,76692.87599875884
296,101159.01101905407
297,79004.80512831469
298,63968.12874845116
299,49437.89646192765
300,64788.262811164306
301,40939.44202717453
302,40798.613049384985
303,44919.79081772112
304,48647.775601159825
305,44310.96317675004
306,47592.29933405202
307,73326.8082263228
308,47954.61646373458
309,215684.05569604394
310,48802.38810936193
311,72721.13913804272
312,55636.10834273964
313,29924.703257524667
314,69106.95979789019
315,72158.05516342519
316,91032.31188086109
317,165723.46349673663
318,127655.3208965739
319,75625.58379609406
320,44706.70782713864
321,102456.99282687114
322,53626.47944757431
323,64031.84436579275
324,60396.23493284684
325,63724.37959516099
326,83275.65623671131
327,66737.4561126895
328,75107.45524727818
329,110950.57547479031
330,53220.30438677553
331,85007.51355390414
332,75556.9552568316
333,45883.735470194624
334,58248.968646107154
335,74278.10518758168
336,99976.86985456343
337,51203.90976635595
338,63426.699366805675
339,59761.81989685201
340,78617.44556851036
341,29072.800809405293
342,28399.1502065268
343,66749.5857491351
344,42792.67573019236
345,57492.49458942618
346,112753.35886093669
347,83437.44911832677
348,44659.44772119718
349,47587.924906238215
350,28325.140233997954
351,36518.44593550096
352,44659.40972641195
353,44655.61536660732
354,44992.802771133516
355,44652.785877393384
356,71575.60612764306
357,57587.90772429638
358,51043.990814928766
359,35902.04600796849
360,29083.898472823712
361,95440.45606830064
362,57589.12456802279
363,62440.56539350595
364,41189.75188591064
365,108127.16175244641
366,58265.76420618743
367,329398.52241339104
368,52712.426511575424
369,38997.918871105314
370,56224.212501718255
371,50042.38797464922
372,249284.30751619348
373,47468.54905600795
374,45595.0409339359
375,189410.2270521038
376,162565.1189823137
377,57193.11350601491
378,55352.93418240675
379,179026.80872724537
380,62631.812510409465
381,63145.633418505946
382,42094.35460692551
383,67426.34189727619
384,74033.86557333206
385,86809.90317030004
386,94202.0343390702
387,60214.18439234809
388,47126.40734968918
389,64435.38620050384
390,36231.81204718538
391,66967.7618496639
392,64517.275218564995
393,45087.2094976207
394,106203.07884606399
395,111452.23980530778
396,120480.26780565566
397,100270.0250469071
398,50409.82227917413
399,52399.227248160794
400,181259.0921909408
401,93113.66815743188
402,67246.3289167329
403,99871.94819498272
404,45083.4112039615
405,49460.87394873859
406,119576.57385911173
407,78360.31527568318
408,104041.73002602355
409,486648.45373304264
410,181949.45671377552
411,56579.02675324989
412,60329.68428416659
413,54159.26036365493
414,85964.39104180178
415,28636.405647921318
416,67028.75437359801
417,75000.36826969948
418,79323.7001414344
419,66040.95408309122
420,158819.5072601337
421,90479.89434449474
422,39829.10214490295
423,74264.68651373795
424,109602.04594614942
425,68468.4633117738
426,66049.50194789123
427,101146.19419668707
428,62491.84199603718
429,94022.92484906362
430,60464.22988519477
431,161502.41916323776
432,114070.37516769802
433,83312.30314682
434,104483.97681616014
435,134913.43772440532
436,80188.03858665243
437,50350.849677095684
438,66876.60678817658
439,50803.463364079274
440,109594.70960968616
441,84335.4241439043
442,49175.5875798483
443,112527.98476120927
444,76122.60025536013
445,100422.4377783387
446,36649.20482046838
447,77545.69006704725
448,76466.8223744389
449,93063.49795602736
450,55091.17167901212
451,48482.678070312744
452,52633.523558671164
453,62576.98965120762
454,116762.48480943708
455,119903.1633987985
456,59640.14412954459
457,61395.176312079944
458,47290.13002954135
459,45805.721153272985
460,57016.58465035691
461,53466.471816168196
462,97050.25208506684
463,64177.59154737399
464,74457.56894096258
465,78869.64276488821
466,82007.79072043934
467,85055.63488286981
468,66486.34890067762
469,45084.942317459296
470,128875.99972787523
471,62927.856544373586
472,56198.053986312945
473,53460.07331205576
474,50255.56546130856
475,64970.7091733902
476,55951.63956081864
477,82597.60295741668
478,91329.94011342821
479,40034.72183144772
480,81741.076662841
481,43856.44559079176
482,92959.185954855
483,66688.15564472448
484,69999.74174375812
485,128004.71309289329
486,44138.32244009091
487,52295.503646539335
488,97536.90549290387
489,71378.35405912402
490,99838.27936538888
491,47102.393924124895
492,78015.97609449801
493,51844.5077860975
494,26870.40348626053
495,42769.52993785472
496,72906.52680110378
497,57724.87959093719
498,60527.625500276954
499,34556.88234890987
500,100742.2462542849
501,43942.39457801573
502,47173.3270410314
503,40644.433882849684
504,93107.63709898325
505,43635.75214997822
506,62479.83868713074
507,108673.87872597965
508,63131.50649717589
509,72902.00341085749
510,127090.66294855694
511,44658.70215576592
512,49674.90118828662
513,25484.680161154873
514,80692.11798622069
515,112096.73767575003
516,52239.31034099258
517,32039.65569022901
518,121407.28749641243
519,71348.0246166845
520,45323.14738905558
521,34372.80253032761
522,52674.74467734633
523,355155.8038834323
524,60941.47048929584
525,30717.720210297535
526,44659.22081063883
527,51131.03266173861
528,32034.05483617843
529,65249.23822758654
530,45453.33522408345
531,34400.589815931075
532,60332.28032370844
533,32357.423726650217
534,99712.4666246798
535,121543.85986738814
536,59575.89565945027
537,56448.7020768391
538,50743.85478966807
539,54083.602452416235
540,284719.8975993345
541,68017.58854290533
542,42100.309439309945
543,64523.584038809335
544,59483.00607568503
545,73461.3804552608
546,55467.642173705535
547,51336.793423354204
548,28521.314458417794
549,51736.55545202843
550,35772.63242373102
551,76083.15377518524
552,32429.82590395327
553,156435.94343966985
554,214441.32104120636
555,90778.84992018607
556,56087.27004459554
557,40038.00991084783
558,54660.80101189255
559,60528.4911552225
560,79286.50585822726
561,44654.64627186002
562,66683.31713551091
563,99403.4259669385
564,86475.0225673577
565,45595.75174951987
566,47605.92963242685
567,48618.906876863795
568,48031.45258008092
569,145642.4477483158
