,0
0,98541.758691586
1,96833.6299227328
2,59961.97399936228
3,39507.9736302491
4,130539.62275145139
5,53956.7571814024
6,30813.010845232206
7,45190.796501271776
8,281959.41500764474
9,89201.86591559753
10,28673.51303556434
11,40168.51137517933
12,41484.56572115638
13,85317.51664565611
14,84000.27829452063
15,89310.87195630922
16,24474.08880842092
17,63391.95090537988
18,85029.52805604931
19,18172.70079564916
20,22505.021854931056
21,62702.23214938759
22,26897.947044027143
23,52667.18909554962
24,1764.5447069171723
25,325177.31071979983
26,18151.522797849182
27,94570.94652024952
28,27330.082155220847
29,770400.1789463178
30,465280.5121801268
31,19398.20280000772
32,51152.69277027757
33,24117.922902177164
34,71950.23618202175
35,36667.34218071452
36,26088.652429576512
37,18938.883306437194
38,10561.354070464386
39,83442.37810907238
40,35878.80402806259
41,32164.250313049615
42,54603.531090911914
43,23487.06751358199
44,36041.003736930885
45,105830.19476469346
46,683514.4169498989
47,25342.242167505956
48,18927.978775658594
49,62190.364311514626
50,208538.46668868492
51,14431.930891490145
52,11891.159696330635
53,19517.267761536885
54,25327.492509905933
55,49545.45645315576
56,28632.780317866167
57,26838.22431788654
58,29367.119588119946
59,33843.82148324762
60,31475.254001577778
61,51610.08425204543
62,69464.82746239101
63,4974.348554172641
64,38358.05251972932
65,67495.83471750056
66,52241.028803882095
67,41484.22785450432
68,33207.31122172051
69,22846.691228650565
70,44030.0864641591
71,2687.1788071670344
72,39589.949241805305
73,43228.85696468043
74,33758.97653860851
75,40204.60052352319
76,40400.08565802059
77,110192.05581421626
78,81925.03331293975
79,58420.43968532567
80,18188.59355558162
81,18185.07771106704
82,35825.25649012702
83,29521.14095786515
84,18188.383181000092
85,42649.307858114684
86,47019.770398344
87,29382.63231291281
88,275442.18662098714
89,4143.606637330841
90,40836.162930223094
91,49367.3135144067
92,95038.90345258535
93,951063.4590155385
94,32098.92798417029
95,32908.14404892499
96,78930.28532232795
97,35692.19989533842
98,22662.014031751438
99,47661.18252743381
100,143396.38627889927
101,152254.56699980146
102,69108.86163073528
103,15336.718057684295
104,38857.87283649056
105,132495.88472081043
106,99639.68924078623
107,172329.95284572014
108,39434.83682450287
109,14641.645331852946
110,28456.711704433663
111,51381.94186705597
112,41958.646166985185
113,35778.02504639986
114,22863.93618275679
115,577537.9524368393
116,51135.27012941947
117,21156.630353313205
