,2025
1.Population_Grid,11631442.693107285
1.Population_SA_PV_,811675.9128371764
1.Population_MG_PV_,11059.3942471
1.Population_MG_Diesel_,0.0
2.New_Connections_Grid,3209562.081826196
2.New_Connections_SA_PV_,635752.3268750154
2.New_Connections_MG_PV_,9978.403386013
2.New_Connections_MG_Diesel_,0.0
3.Capacity_Grid,265261.1780538773
3.Capacity_SA_PV_,45777.202599095086
3.Capacity_MG_PV_,1781.506987133229
3.Capacity_MG_Diesel_,0.0
4.Investment_Grid,1069538261.8261341
4.Investment_SA_PV_,250651664.54728433
4.Investment_MG_PV_,9153699.302935574
4.Investment_MG_Diesel_,0.0
