,Renewable Invesment Cost,Battery Unitary Invesment Cost,Deep of Discharge,Battery Cycles,GenSet Unitary Invesment Cost,Generator Efficiency,Low Heating Value,Fuel Cost,HouseHolds,Renewable Energy Unit Total
0,1000,300,0.02,7000,1000,0.39,11,0.8215680000000001,4.806435117744659,501.1869321328074
1,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,28.25968841898289,566.4127164963533
2,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,8.133967130990044,551.3373151058017
3,1000,300,0.02,7000,1000,0.39,11,0.8143786666666667,0.8626934824990447,563.4356628755935
4,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,15.035515004481628,535.6011940097046
5,1000,300,0.02,7000,1000,0.39,11,0.8143786666666667,6.038854375243686,566.217697758511
6,1000,300,0.02,7000,1000,0.39,11,0.8,2.588080449746975,523.124246046477
7,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,7.271273655240583,542.7521449080281
8,1000,300,0.02,7000,1000,0.39,11,0.8,33.39856195471339,531.6400931988885
9,1000,300,0.02,7000,1000,0.39,11,0.8107840000000001,3.450773925496578,534.5907734718506
10,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,4.1902254889951465,504.50683734022215
11,1000,300,0.02,7000,1000,0.39,11,0.8143786666666667,5.422644746494048,584.2155993816947
12,1000,300,0.02,7000,1000,0.39,11,0.8467306666666667,5.545886681243215,512.5960846098571
13,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,8.87341869448889,534.9263163660953
14,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,6.038854375243686,583.1531973978697
15,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,10.10583795198765,565.9557128366013
16,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,2.341596598247201,515.6850972770352
17,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,7.764241349240779,546.8857374541793
18,1000,300,0.02,7000,1000,0.39,11,0.8179733333333333,5.669128615992407,584.3964595304914
19,1000,300,0.02,7000,1000,0.39,11,0.8323520000000001,0.12324192619985426,516.093386842093
20,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,0.24648385239970905,543.1168447778301
21,1000,300,0.02,7000,1000,0.39,11,0.8359466666666667,15.414375498318206,589.0251594024487
22,1000,300,0.02,7000,1000,0.39,11,0.8431360000000001,0.49296770524936484,510.34826045022277
23,1000,300,0.02,7000,1000,0.39,11,0.8970560000000001,21.837031960675358,591.3503055894878
24,1000,300,0.02,7000,1000,0.39,11,0.8323520000000001,0.12324192619985426,521.8038629993323
25,1000,300,0.02,7000,1000,0.39,11,0.8179733333333333,23.662449829472415,575.5554725687728
26,1000,300,0.02,7000,1000,0.39,11,0.8179733333333333,0.12324192619985426,570.0512998532721
27,1000,300,0.02,7000,1000,0.39,11,0.9078400000000001,42.38953260620128,519.9233184604288
28,1000,300,0.02,7000,1000,0.39,11,0.8143786666666667,0.3697257794994899,504.98061317044983
29,1000,300,0.02,7000,1000,0.39,11,0.8107840000000001,180.57700604287703,535.6887839737982
30,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,45.476270885185905,585.6009672003272
31,1000,300,0.02,7000,1000,0.39,11,0.8215680000000001,1.2845312916615022,578.2143919979218
32,1000,300,0.02,7000,1000,0.39,11,0.8143786666666667,1.6021450414979737,575.5053630401715
33,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,0.3697257794994899,539.6328834000985
34,1000,300,0.02,7000,1000,0.39,11,0.8107840000000001,3.9437416419949147,576.4070718033897
35,1000,300,0.02,7000,1000,0.39,11,0.8,0.8626934824990447,578.105358145812
36,1000,300,0.02,7000,1000,0.39,11,0.8287573333333333,3.853593876604378,513.0418775953497
37,1000,300,0.02,7000,1000,0.39,11,0.8179733333333333,1.2845312916615022,563.1357262033737
38,1000,300,0.02,7000,1000,0.39,11,0.8323520000000001,0.24648385239970905,545.7413103954568
39,1000,300,0.02,7000,1000,0.39,11,0.8215680000000001,8.87341869448889,534.0116767217523
40,1000,300,0.02,7000,1000,0.39,11,0.8179733333333333,8.991719040010674,534.5736948889133
41,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,0.6162096309992647,561.4594323540282
42,1000,300,0.02,7000,1000,0.39,11,0.8179733333333333,2.218354672497289,548.5981805083484
43,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,1.2845312916615022,574.6251228944773
44,1000,300,0.02,7000,1000,0.39,11,0.8934613333333334,1.1091773362486426,509.75036062855247
45,1000,300,0.02,7000,1000,0.39,11,0.8682986666666668,8.010725196241026,573.3898867735327
46,1000,300,0.02,7000,1000,0.39,11,0.8107840000000001,110.19889242202869,532.1820006601106
47,1000,300,0.02,7000,1000,0.39,11,0.8215680000000001,0.3697257794994899,589.3400687596122
48,1000,300,0.02,7000,1000,0.39,11,0.8682986666666668,0.12324192619985426,514.9798001204812
49,1000,300,0.02,7000,1000,0.39,11,0.8251626666666667,1.971870818747657,553.9535047737778
50,1000,300,0.02,7000,1000,0.39,11,0.8826773333333334,62.94203327602504,587.2103683997094
51,1000,300,0.02,7000,1000,0.39,11,0.8,3.0810481662453033,513.5244015332025
52,1000,300,0.02,7000,1000,0.39,11,0.8,0.24648385239970905,516.6178396894161
53,1000,300,0.02,7000,1000,0.39,11,0.8,1.4789031134983592,579.6275184650983
54,1000,300,0.02,7000,1000,0.39,11,0.8,1.6021450414979737,573.4160977265731
55,1000,300,0.02,7000,1000,0.39,11,0.8,20.552500665774115,547.5414090777606
56,1000,300,0.02,7000,1000,0.39,11,0.8359466666666667,0.6162096309992647,563.580107904189
57,1000,300,0.02,7000,1000,0.39,11,0.8287573333333333,3.853593876604378,567.4600483805237
58,1000,300,0.02,7000,1000,0.39,11,0.8611093333333334,0.7394515567491806,587.2081286767383
59,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,0.7394515567491806,538.8046545904702
60,1000,300,0.02,7000,1000,0.39,11,0.8,5.915612462992646,522.4881482889954
61,1000,300,0.02,7000,1000,0.39,11,0.8287573333333333,21.837031960675358,518.978898890361
62,1000,300,0.02,7000,1000,0.39,11,0.8,4.1902254889951465,571.4343190344484
63,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,0.6162096309992647,575.3417440271161
64,1000,300,0.02,7000,1000,0.39,11,0.8107840000000001,4.559951270744412,585.4162742486324
65,1000,300,0.02,7000,1000,0.39,11,0.8107840000000001,4.436709335995378,547.1196744951893
66,1000,300,0.02,7000,1000,0.39,11,0.875488,3.0810481662453033,593.897702867469
67,1000,300,0.02,7000,1000,0.39,11,0.8143786666666667,1.4789031134983592,520.923110688503
68,1000,300,0.02,7000,1000,0.39,11,0.8,3.3275320132455386,509.17708266752294
69,1000,300,0.02,7000,1000,0.39,11,0.8179733333333333,2.5690625833230043,592.9058576078728
70,1000,300,0.02,7000,1000,0.39,11,0.8790826666666667,1.8486288929978076,536.9561873097838
71,1000,300,0.02,7000,1000,0.39,11,0.8143786666666667,0.24648385239970905,588.2177630595335
72,1000,300,0.02,7000,1000,0.39,11,0.8467306666666667,8.991719040010674,559.0250523807423
73,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,1.3556611877484412,582.7127587709667
74,1000,300,0.02,7000,1000,0.39,11,0.8359466666666667,0.8626934824990447,525.5879750777569
75,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,0.8626934824990447,501.15150719552
76,1000,300,0.02,7000,1000,0.39,11,0.8323520000000001,0.9859354104987287,570.9181378927982
77,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,9.73611217023837,547.530797170521
78,1000,300,0.02,7000,1000,0.39,11,0.8826773333333334,4.929677052493835,550.574179191139
79,1000,300,0.02,7000,1000,0.39,11,0.9042453333333333,17.983438084071004,519.1815860158198
80,1000,300,0.02,7000,1000,0.39,11,0.8287573333333333,0.12324192619985426,599.2121298212306
81,1000,300,0.02,7000,1000,0.39,11,0.8251626666666667,0.12324192619985426,582.1509075991422
