,OID,Country,CountryCode,GridCellArea,pointid,Pop,X,Y,X_deg,Y_deg
0,-1,Bolivia,1,1,1,141.70481999999998,-7677.161999999999,-1560.3978,-68.96512,-13.969403
1,-1,Bolivia,1,1,2,79.93605,-7065.6343,-2412.363,-63.471676,-21.301607
2,-1,Bolivia,1,1,3,239.80817000000002,-7095.101,-2470.1943,-63.736378,-21.787634
3,-1,Bolivia,1,1,4,25.434198000000002,-7095.1714,-2381.6016,-63.73701,-21.042417999999998
4,-1,Bolivia,1,1,5,443.28177,-7196.0557,-2455.5784,-64.643265,-21.664953
5,-1,Bolivia,1,1,6,178.0394,-7171.3667,-2573.0515,-64.421486,-22.647942999999998
6,-1,Bolivia,1,1,7,76.3026,-7075.0527,-2469.5093,-63.556281999999996,-21.781887
7,-1,Bolivia,1,1,8,214.37396,-7260.8984,-2420.6907,-65.22576,-21.371696
8,-1,Bolivia,1,1,9,984.6669,-7084.717,-2490.5854,-63.64309300000001,-21.95861
9,-1,Bolivia,1,1,10,101.73679,-6994.5522,-2482.6208,-62.833133999999994,-21.891853
10,-1,Bolivia,1,1,11,123.53753999999999,-7257.9893,-2400.8132,-65.19963,-21.204344
11,-1,Bolivia,1,1,12,159.8721,-7197.121999999999,-2487.6710000000003,-64.65285,-21.934185
12,-1,Bolivia,1,1,13,163.50557,-7179.274,-2532.0215,-64.49251600000001,-22.305403
13,-1,Bolivia,1,1,14,261.60892,-7090.2817,-2455.252,-63.693084999999996,-21.662214000000002
14,-1,Bolivia,1,1,15,178.0394,-7065.3213,-2410.7573,-63.468864,-21.28809
15,-1,Bolivia,1,1,16,297.94347999999997,-7012.5776,-2441.077,-62.995059999999995,-21.543129999999998
16,-1,Bolivia,1,1,17,69.03568,-7249.9854,-2502.006,-65.12772,-22.054281
17,-1,Bolivia,1,1,18,228.90778999999998,-7144.1514,-2441.2925,-64.17699999999999,-21.544945000000002
18,-1,Bolivia,1,1,19,167.13902,-7002.5615,-1827.2373,-62.905080000000005,-16.29768
19,-1,Bolivia,1,1,20,3.633457,-6892.179,-1904.1332,-61.9135,-16.963642
20,-1,Bolivia,1,1,21,7.266914,-7038.536,-1900.8795,-63.228244999999994,-16.935513
21,-1,Bolivia,1,1,22,43.601482,-6671.165,-2032.6138,-59.928093000000004,-18.071005
