NPC,Renewable Invesment Cost,Battery Unitary Invesment Cost,Deep of Discharge,Battery Cycles,GenSet Unitary Invesment Cost,Generator Efficiency,Low Heating Value,Fuel Cost,Generator Nominal capacity,HouseHolds,Renewable Energy Unit Total,Max Demand
90410.32,1181,699,0.28,3589.06,1191,0.22,10.04,1.0,5,50,465.25,6.92
73547.62,1796,462,0.03,1422.74,1652,0.38,7.02,0.8,5,50,448.48,6.92
74559.21,1118,281,0.41,4787.33,1809,0.22,9.99,1.0,5,50,473.9,6.92
98893.51,1278,560,0.11,6110.77,1685,0.18,8.93,1.1,5,50,460.83,6.92
90327.06,1504,355,0.29,6192.15,1977,0.26,7.67,1.1,5,50,459.81,6.92
45126.1,1062,409,0.18,2689.13,1933,0.36,9.39,0.5,5,50,470.24,6.92
78496.33,1153,654,0.2,4987.11,1204,0.13,10.04,0.5,5,50,469.46,6.92
93029.91,1637,745,0.0,4103.51,1731,0.2,9.45,0.8,5,50,429.91,6.92
70362.27,1772,752,0.17,3919.02,1647,0.25,8.92,0.6,5,50,467.18,6.92
101482.21,1267,497,0.48,3775.44,1448,0.13,10.46,0.7,5,50,453.52,6.92
64599.22,1993,566,0.33,3523.32,1832,0.17,8.14,0.3,5,50,412.49,6.92
91721.57,1755,381,0.04,2838.98,1316,0.14,8.97,0.7,5,50,423.9,6.92
104015.53,1767,331,0.44,6374.67,1997,0.25,9.29,1.2,5,50,425.21,6.92
31330.41,1923,659,0.31,5996.28,1693,0.35,8.65,0.2,5,50,461.58,6.92
56078.54,1990,245,0.07,1954.8,1671,0.1,9.88,0.2,5,50,412.53,6.92
138693.14,1646,686,0.25,3750.7,1798,0.11,7.38,0.6,5,50,429.3,6.92
68087.07,1215,681,0.13,4530.37,1502,0.27,10.24,0.8,5,50,444.93,6.92
81105.96,1497,392,0.48,3692.98,1907,0.22,7.72,0.6,5,50,417.25,6.92
29619.27,1141,349,0.4,6412.4,1618,0.37,10.65,0.3,5,50,459.2,6.92
47925.16,1963,785,0.06,4044.81,1918,0.32,7.32,0.3,5,50,417.18,6.92
51282.33,1127,641,0.28,2773.43,1434,0.2,8.08,0.3,5,50,531.3,6.92
86240.96,1373,793,0.15,6624.43,1053,0.34,7.6,1.1,5,50,473.18,6.92
44820.72,1831,341,0.12,4383.42,1240,0.38,8.16,0.5,5,50,529.09,6.92
95713.91,1654,714,0.01,3451.79,1345,0.27,7.1,0.9,5,50,467.69,6.92
44366.79,1546,368,0.47,2569.85,1390,0.29,9.71,0.4,5,50,464.02,6.92
76916.38,1554,224,0.45,1104.77,1376,0.18,9.77,0.8,5,50,445.96,6.92
93905.53,1475,316,0.42,6301.57,1874,0.13,8.59,0.6,5,50,431.31,6.92
42960.65,1679,596,0.12,2132.45,1281,0.37,10.63,0.5,5,50,461.86,6.92
70318.97,1464,523,0.16,2656.69,1929,0.31,9.24,0.8,5,50,427.18,6.92
111372.89,1518,522,0.39,5631.6,1407,0.19,10.08,1.1,5,50,415.72,6.92
78113.38,1231,780,0.26,6659.51,1858,0.33,7.31,0.8,5,50,418.69,6.92
68774.98,1676,249,0.03,5290.75,1928,0.32,7.31,0.9,5,50,469.56,6.92
33947.65,1721,479,0.35,3032.87,1438,0.23,9.67,0.2,5,50,503.03,6.92
51162.2,1211,520,0.34,3192.15,1772,0.26,8.84,0.4,5,50,460.79,6.92
39297.81,1377,776,0.44,5600.44,1591,0.38,8.38,0.3,5,50,440.37,6.92
51411.24,1808,445,0.34,1033.65,1568,0.28,9.08,0.4,5,50,444.01,6.92
72694.57,1778,787,0.01,4853.16,1903,0.21,10.7,0.6,5,50,418.87,6.92
68367.83,1204,430,0.19,1659.8,1885,0.3,10.64,0.9,5,50,418.77,6.92
53734.81,1743,679,0.22,6227.24,1060,0.2,7.72,0.3,5,50,462.62,6.92
82995.93,1342,400,0.21,6294.07,1020,0.15,9.68,0.9,5,50,460.85,6.92
75588.64,1665,509,0.06,2696.05,1250,0.27,9.79,0.9,5,50,448.2,6.92
80424.51,1401,745,0.44,4363.2,1094,0.24,9.31,0.8,5,50,454.57,6.92
33217.45,1859,279,0.46,5868.25,1130,0.36,10.25,0.4,5,50,462.69,6.92
129900.23,1898,765,0.12,4992.54,1449,0.17,8.41,1.0,5,50,463.64,6.92
74604.9,1320,530,0.06,5649.5,1605,0.37,7.09,0.9,5,50,449.11,6.92
75454.06,1834,292,0.03,6578.96,1177,0.11,8.91,0.6,5,50,467.21,6.92
61544.74,1119,606,0.37,1882.05,1307,0.12,10.77,0.3,5,50,421.28,6.92
53743.02,1008,313,0.02,5140.28,1158,0.38,8.28,0.8,5,50,450.37,6.92
128182.86,1125,757,0.38,2040.59,1804,0.12,10.29,0.8,5,50,414.69,6.92
30422.91,1081,330,0.49,3669.58,1107,0.31,7.17,0.2,5,50,413.38,6.92
72955.22,1526,460,0.12,6462.09,1623,0.14,10.55,0.5,5,50,503.12,6.92
74141.28,1142,343,0.1,4420.79,1292,0.14,7.66,0.7,5,50,444.07,6.92
96785.91,1627,652,0.24,2669.35,1460,0.22,10.81,1.1,5,50,478.58,6.92
50418.91,1264,320,0.36,6213.43,1815,0.15,10.51,0.3,5,50,472.44,6.92
52487.21,1016,732,0.5,2843.49,1314,0.32,7.23,0.4,5,50,522.06,6.92
78199.02,1466,594,0.49,6029.18,1491,0.23,10.1,0.8,5,50,463.11,6.92
56648.13,1580,366,0.27,1379.27,1877,0.19,10.42,0.4,5,50,467.57,6.92
72344.98,1101,422,0.01,4755.34,1414,0.29,9.64,1.1,5,50,453.62,6.92
58976.15,1866,701,0.29,2510.05,1757,0.3,9.33,0.5,5,50,471.54,6.92
63645.92,1419,458,0.39,2947.96,1064,0.36,9.21,0.9,5,50,421.36,6.92
64242.11,1909,578,0.07,1250.74,1685,0.25,7.43,0.4,5,50,462.9,6.92
70640.87,1976,438,0.23,5381.98,1666,0.2,8.59,0.5,5,50,467.2,6.92
54261.46,1498,450,0.14,5200.25,1050,0.32,7.93,0.6,5,50,521.07,6.92
73061.92,1687,239,0.05,6906.12,1788,0.27,9.93,1.0,5,50,413.69,6.92
93916.73,1594,628,0.21,2134.59,1723,0.22,9.53,0.9,5,50,460.47,6.92
101714.57,1969,704,0.3,5340.6,1740,0.17,9.07,0.7,5,50,415.09,6.92
30426.16,1452,740,0.04,2354.21,1640,0.38,9.75,0.2,5,50,458.71,6.92
63039.5,1429,770,0.45,2575.71,1220,0.2,8.96,0.4,5,50,480.52,6.92
73451.78,1641,644,0.43,1173.68,1981,0.33,10.74,0.8,5,50,412.85,6.92
83079.98,1277,694,0.45,3537.54,1208,0.28,10.59,1.1,5,50,416.08,6.92
76263.38,1289,720,0.26,4504.14,1161,0.35,9.19,1.1,5,50,427.29,6.92
96970.8,1362,497,0.09,3269.5,1074,0.23,8.09,1.0,5,50,419.3,6.92
44259.92,1177,662,0.15,6623.75,1548,0.37,10.16,0.5,5,50,414.64,6.92
60961.31,1032,750,0.2,1713.96,1795,0.39,9.84,0.8,5,50,469.49,6.92
36062.15,1568,224,0.47,6733.41,1958,0.28,7.04,0.2,5,50,460.85,6.92
47447.33,1168,715,0.17,4020.98,1821,0.16,8.79,0.2,5,50,490.06,6.92
67723.1,1431,291,0.43,4950.21,1860,0.33,8.53,0.8,5,50,414.75,6.92
83876.08,1515,413,0.32,3721.54,1944,0.37,8.61,1.2,5,50,423.93,6.92
58257.05,1943,564,0.29,3942.73,1143,0.12,7.58,0.2,5,50,489.24,6.92
105320.24,1732,709,0.25,5128.72,1471,0.24,8.21,1.0,5,50,423.98,6.92
37567.26,1551,615,0.14,3085.69,1278,0.35,8.18,0.3,5,50,427.1,6.92
67107.14,1571,563,0.25,3463.15,1692,0.11,10.15,0.3,5,50,468.34,6.92
91347.15,1657,474,0.33,5504.77,1893,0.11,10.87,0.5,5,50,424.37,6.92
55771.84,1755,582,0.23,2164.24,1327,0.29,9.24,0.5,5,50,447.05,6.92
98985.06,1763,525,0.41,2495.31,1003,0.33,7.62,1.2,5,50,424.46,6.92
61994.71,1699,406,0.05,1188.91,1131,0.3,9.14,0.7,5,50,462.68,6.92
72573.14,1050,408,0.31,6068.12,1975,0.21,10.07,0.7,5,50,448.83,6.92
82407.22,1060,792,0.28,4802.81,1198,0.29,8.67,1.0,5,50,452.88,6.92
52937.75,1298,641,0.28,6800.82,1535,0.26,10.46,0.5,5,50,421.12,6.92
64740.6,1245,266,0.11,6141.05,1999,0.16,8.13,0.6,5,50,473.7,6.92
71488.04,1448,387,0.48,4623.43,1630,0.13,7.51,0.3,5,50,431.49,6.92
79339.9,1473,512,0.08,3905.56,1346,0.4,7.35,1.1,5,50,423.17,6.92
