,0
2015-01-01 00:00:00,15998.587
2015-01-01 01:00:00,17395.1
2015-01-01 02:00:00,18169.645
2015-01-01 03:00:00,19021.309
2015-01-01 04:00:00,19296.63
2015-01-01 05:00:00,15808.381
2015-01-01 06:00:00,13156.271
2015-01-01 07:00:00,11502.692
2015-01-01 08:00:00,14013.846
2015-01-01 09:00:00,18299.84
2015-01-01 10:00:00,23671.277
2015-01-01 11:00:00,24221.365
2015-01-01 12:00:00,23018.66
2015-01-01 13:00:00,17920.59
2015-01-01 14:00:00,16073.558
2015-01-01 15:00:00,15770.406
2015-01-01 16:00:00,17468.53
2015-01-01 17:00:00,20433.406
2015-01-01 18:00:00,23829.047
2015-01-01 19:00:00,34682.426
2015-01-01 20:00:00,38953.23
2015-01-01 21:00:00,39554.816
2015-01-01 22:00:00,33852.75
2015-01-01 23:00:00,23274.281
2015-01-02 00:00:00,14914.464
2015-01-02 01:00:00,17139.404
2015-01-02 02:00:00,18518.775
2015-01-02 03:00:00,19131.379
2015-01-02 04:00:00,19336.678
2015-01-02 05:00:00,17058.684
2015-01-02 06:00:00,13615.872
2015-01-02 07:00:00,11038.318
2015-01-02 08:00:00,14346.228
2015-01-02 09:00:00,19988.37
2015-01-02 10:00:00,24303.973
2015-01-02 11:00:00,24603.463
2015-01-02 12:00:00,20437.201
2015-01-02 13:00:00,18478.068
2015-01-02 14:00:00,15677.324
2015-01-02 15:00:00,16101.837
2015-01-02 16:00:00,16332.31
2015-01-02 17:00:00,19242.775
2015-01-02 18:00:00,25179.814
2015-01-02 19:00:00,34653.9
2015-01-02 20:00:00,39244.7
2015-01-02 21:00:00,38331.55
2015-01-02 22:00:00,33930.723
2015-01-02 23:00:00,25566.488
2015-01-03 00:00:00,15864.909
2015-01-03 01:00:00,17043.543
2015-01-03 02:00:00,18183.865
2015-01-03 03:00:00,18972.861
2015-01-03 04:00:00,19005.396
2015-01-03 05:00:00,17000.973
2015-01-03 06:00:00,13624.431
2015-01-03 07:00:00,11391.536
2015-01-03 08:00:00,14092.916
2015-01-03 09:00:00,18871.14
2015-01-03 10:00:00,24021.568
2015-01-03 11:00:00,26544.32
2015-01-03 12:00:00,22099.516
2015-01-03 13:00:00,16234.845
2015-01-03 14:00:00,15898.223
2015-01-03 15:00:00,15511.428
2015-01-03 16:00:00,16951.059
2015-01-03 17:00:00,18733.783
2015-01-03 18:00:00,23056.396
2015-01-03 19:00:00,33320.508
2015-01-03 20:00:00,39508.207
2015-01-03 21:00:00,38880.918
2015-01-03 22:00:00,34024.992
2015-01-03 23:00:00,24844.314
2015-01-04 00:00:00,15719.05
2015-01-04 01:00:00,16833.455
2015-01-04 02:00:00,17959.434
2015-01-04 03:00:00,18552.441
2015-01-04 04:00:00,19061.021
2015-01-04 05:00:00,16851.33
2015-01-04 06:00:00,14106.53
2015-01-04 07:00:00,11536.765
2015-01-04 08:00:00,14095.711
2015-01-04 09:00:00,18919.652
2015-01-04 10:00:00,24356.025
2015-01-04 11:00:00,24957.254
2015-01-04 12:00:00,21461.146
2015-01-04 13:00:00,17199.066
2015-01-04 14:00:00,14334.177
2015-01-04 15:00:00,15762.186
2015-01-04 16:00:00,16341.753
2015-01-04 17:00:00,18408.705
2015-01-04 18:00:00,23407.91
2015-01-04 19:00:00,30911.248
2015-01-04 20:00:00,39878.523
2015-01-04 21:00:00,37564.93
2015-01-04 22:00:00,33504.94
2015-01-04 23:00:00,22529.312
2015-01-05 00:00:00,14830.952
2015-01-05 01:00:00,17320.828
2015-01-05 02:00:00,18483.312
2015-01-05 03:00:00,18834.686
2015-01-05 04:00:00,19019.23
2015-01-05 05:00:00,15009.138
2015-01-05 06:00:00,12876.991
2015-01-05 07:00:00,12925.769
2015-01-05 08:00:00,14657.116
2015-01-05 09:00:00,19230.346
2015-01-05 10:00:00,23094.373
2015-01-05 11:00:00,25665.818
2015-01-05 12:00:00,21163.53
2015-01-05 13:00:00,18604.936
2015-01-05 14:00:00,16133.221
2015-01-05 15:00:00,14969.107
2015-01-05 16:00:00,17315.562
2015-01-05 17:00:00,19600.086
2015-01-05 18:00:00,24350.81
2015-01-05 19:00:00,31490.947
2015-01-05 20:00:00,39067.29
2015-01-05 21:00:00,38365.66
2015-01-05 22:00:00,33839.62
2015-01-05 23:00:00,23294.709
2015-01-06 00:00:00,17213.625
2015-01-06 01:00:00,17536.748
2015-01-06 02:00:00,18543.75
2015-01-06 03:00:00,18853.64
2015-01-06 04:00:00,19254.762
2015-01-06 05:00:00,16084.044
2015-01-06 06:00:00,11625.415
2015-01-06 07:00:00,11501.803
2015-01-06 08:00:00,13730.887
2015-01-06 09:00:00,17955.115
2015-01-06 10:00:00,24239.275
2015-01-06 11:00:00,25211.066
2015-01-06 12:00:00,21303.172
2015-01-06 13:00:00,17612.88
2015-01-06 14:00:00,15706.427
2015-01-06 15:00:00,14948.228
2015-01-06 16:00:00,15043.277
2015-01-06 17:00:00,18668.76
2015-01-06 18:00:00,23664.916
2015-01-06 19:00:00,35368.23
2015-01-06 20:00:00,40599.52
2015-01-06 21:00:00,39686.9
2015-01-06 22:00:00,35258.164
2015-01-06 23:00:00,23459.162
2015-01-07 00:00:00,14815.825
2015-01-07 01:00:00,17478.56
2015-01-07 02:00:00,18201.703
2015-01-07 03:00:00,19052.482
2015-01-07 04:00:00,19119.62
2015-01-07 05:00:00,16563.502
2015-01-07 06:00:00,11640.224
2015-01-07 07:00:00,11458.107
2015-01-07 08:00:00,14128.968
2015-01-07 09:00:00,19223.293
2015-01-07 10:00:00,24909.518
2015-01-07 11:00:00,23847.828
2015-01-07 12:00:00,21173.904
2015-01-07 13:00:00,18254.475
2015-01-07 14:00:00,15228.563
2015-01-07 15:00:00,15786.099
2015-01-07 16:00:00,17153.725
2015-01-07 17:00:00,17245.355
2015-01-07 18:00:00,23560.266
2015-01-07 19:00:00,33932.523
2015-01-07 20:00:00,39409.562
2015-01-07 21:00:00,38343.016
2015-01-07 22:00:00,32655.2
2015-01-07 23:00:00,25291.506
2015-01-08 00:00:00,18041.352
2015-01-08 01:00:00,17403.066
2015-01-08 02:00:00,17946.365
2015-01-08 03:00:00,18594.594
2015-01-08 04:00:00,19015.035
2015-01-08 05:00:00,15105.69
2015-01-08 06:00:00,11691.699
2015-01-08 07:00:00,11490.986
2015-01-08 08:00:00,14513.113
2015-01-08 09:00:00,17989.457
2015-01-08 10:00:00,23605.234
2015-01-08 11:00:00,25985.791
2015-01-08 12:00:00,21173.36
2015-01-08 13:00:00,18712.852
2015-01-08 14:00:00,14740.375
2015-01-08 15:00:00,15681.769
2015-01-08 16:00:00,17985.25
2015-01-08 17:00:00,17757.11
2015-01-08 18:00:00,23355.064
2015-01-08 19:00:00,33252.656
2015-01-08 20:00:00,39227.45
2015-01-08 21:00:00,39450.918
2015-01-08 22:00:00,32293.91
2015-01-08 23:00:00,24416.258
2015-01-09 00:00:00,16274.932
2015-01-09 01:00:00,17693.213
2015-01-09 02:00:00,17990.117
2015-01-09 03:00:00,18468.428
2015-01-09 04:00:00,18970.398
2015-01-09 05:00:00,18449.045
2015-01-09 06:00:00,13613.434
2015-01-09 07:00:00,11469.662
2015-01-09 08:00:00,14840.52
2015-01-09 09:00:00,18915.133
2015-01-09 10:00:00,23859.977
2015-01-09 11:00:00,24503.898
2015-01-09 12:00:00,22214.703
2015-01-09 13:00:00,17715.281
2015-01-09 14:00:00,17187.518
2015-01-09 15:00:00,16334.732
2015-01-09 16:00:00,16139.442
2015-01-09 17:00:00,19074.559
2015-01-09 18:00:00,24576.354
2015-01-09 19:00:00,32844.926
2015-01-09 20:00:00,37886.99
2015-01-09 21:00:00,37939.664
2015-01-09 22:00:00,34522.64
2015-01-09 23:00:00,26277.117
2015-01-10 00:00:00,16033.584
2015-01-10 01:00:00,17459.648
2015-01-10 02:00:00,18286.6
2015-01-10 03:00:00,18834.314
2015-01-10 04:00:00,18645.596
2015-01-10 05:00:00,17043.062
2015-01-10 06:00:00,12612.431
2015-01-10 07:00:00,11027.629
2015-01-10 08:00:00,14319.74
2015-01-10 09:00:00,19513.473
2015-01-10 10:00:00,23242.928
2015-01-10 11:00:00,25238.766
2015-01-10 12:00:00,22998.512
2015-01-10 13:00:00,18526.078
2015-01-10 14:00:00,15104.192
2015-01-10 15:00:00,15715.341
2015-01-10 16:00:00,17257.262
2015-01-10 17:00:00,19520.695
2015-01-10 18:00:00,26030.697
2015-01-10 19:00:00,35819.145
2015-01-10 20:00:00,38565.69
2015-01-10 21:00:00,38739.863
2015-01-10 22:00:00,33705.004
2015-01-10 23:00:00,23562.438
2015-01-11 00:00:00,16271.022
2015-01-11 01:00:00,17008.273
2015-01-11 02:00:00,18098.203
2015-01-11 03:00:00,18441.596
2015-01-11 04:00:00,18868.514
2015-01-11 05:00:00,19224.39
2015-01-11 06:00:00,14152.991
2015-01-11 07:00:00,11079.227
2015-01-11 08:00:00,13781.06
2015-01-11 09:00:00,17364.176
2015-01-11 10:00:00,23991.494
2015-01-11 11:00:00,25836.215
2015-01-11 12:00:00,21396.473
2015-01-11 13:00:00,16916.084
2015-01-11 14:00:00,15269.44
2015-01-11 15:00:00,16406.39
2015-01-11 16:00:00,18047.262
2015-01-11 17:00:00,18924.402
2015-01-11 18:00:00,22098.934
2015-01-11 19:00:00,32976.32
2015-01-11 20:00:00,39589.66
2015-01-11 21:00:00,39081.34
2015-01-11 22:00:00,34233.254
2015-01-11 23:00:00,26098.693
2015-01-12 00:00:00,17564.746
2015-01-12 01:00:00,17186.033
2015-01-12 02:00:00,18684.512
2015-01-12 03:00:00,19013.803
2015-01-12 04:00:00,19620.215
2015-01-12 05:00:00,16815.453
2015-01-12 06:00:00,11980.396
2015-01-12 07:00:00,11233.246
2015-01-12 08:00:00,14791.704
2015-01-12 09:00:00,18596.316
2015-01-12 10:00:00,24239.283
2015-01-12 11:00:00,25666.16
2015-01-12 12:00:00,21606.463
2015-01-12 13:00:00,19081.7
2015-01-12 14:00:00,16403.7
2015-01-12 15:00:00,15800.68
2015-01-12 16:00:00,16276.189
2015-01-12 17:00:00,18403.87
2015-01-12 18:00:00,23090.121
2015-01-12 19:00:00,33662.434
2015-01-12 20:00:00,39899.758
2015-01-12 21:00:00,39098.88
2015-01-12 22:00:00,34595.62
2015-01-12 23:00:00,24508.451
2015-01-13 00:00:00,16196.409
2015-01-13 01:00:00,17168.62
2015-01-13 02:00:00,17870.32
2015-01-13 03:00:00,19065.549
2015-01-13 04:00:00,19093.303
