,0
2015-01-01 00:00:00,12691.486
2015-01-01 01:00:00,14686.407
2015-01-01 02:00:00,15067.5
2015-01-01 03:00:00,15810.221
2015-01-01 04:00:00,16352.324
2015-01-01 05:00:00,15760.699
2015-01-01 06:00:00,14234.676
2015-01-01 07:00:00,11605.776
2015-01-01 08:00:00,14741.265
2015-01-01 09:00:00,18192.021
2015-01-01 10:00:00,21841.643
2015-01-01 11:00:00,22692.807
2015-01-01 12:00:00,18982.967
2015-01-01 13:00:00,17764.479
2015-01-01 14:00:00,17104.506
2015-01-01 15:00:00,16352.055
2015-01-01 16:00:00,16266.486
2015-01-01 17:00:00,19588.883
2015-01-01 18:00:00,21424.441
2015-01-01 19:00:00,27653.02
2015-01-01 20:00:00,33167.637
2015-01-01 21:00:00,31803.139
2015-01-01 22:00:00,27127.537
2015-01-01 23:00:00,19520.186
2015-01-02 00:00:00,12678.661
2015-01-02 01:00:00,15090.819
2015-01-02 02:00:00,15810.164
2015-01-02 03:00:00,16115.028
2015-01-02 04:00:00,16829.531
2015-01-02 05:00:00,15734.356
2015-01-02 06:00:00,12616.46
2015-01-02 07:00:00,12502.619
2015-01-02 08:00:00,15140.4795
2015-01-02 09:00:00,18621.262
2015-01-02 10:00:00,21096.38
2015-01-02 11:00:00,22936.346
2015-01-02 12:00:00,19301.268
2015-01-02 13:00:00,16245.133
2015-01-02 14:00:00,16230.576
2015-01-02 15:00:00,14779.533
2015-01-02 16:00:00,17110.97
2015-01-02 17:00:00,19341.475
2015-01-02 18:00:00,21765.062
2015-01-02 19:00:00,29113.295
2015-01-02 20:00:00,32039.102
2015-01-02 21:00:00,31984.383
2015-01-02 22:00:00,28061.15
2015-01-02 23:00:00,21864.145
2015-01-03 00:00:00,14512.534
2015-01-03 01:00:00,14374.221
2015-01-03 02:00:00,15428.415
2015-01-03 03:00:00,16196.05
2015-01-03 04:00:00,16742.02
2015-01-03 05:00:00,15767.383
2015-01-03 06:00:00,13157.4375
2015-01-03 07:00:00,11591.926
2015-01-03 08:00:00,14267.632
2015-01-03 09:00:00,17567.832
2015-01-03 10:00:00,21499.941
2015-01-03 11:00:00,22653.928
2015-01-03 12:00:00,19297.422
2015-01-03 13:00:00,17268.5
2015-01-03 14:00:00,16199.518
2015-01-03 15:00:00,16633.494
2015-01-03 16:00:00,16473.4
2015-01-03 17:00:00,18454.02
2015-01-03 18:00:00,22533.873
2015-01-03 19:00:00,28269.842
2015-01-03 20:00:00,32414.33
2015-01-03 21:00:00,31893.959
2015-01-03 22:00:00,27152.37
2015-01-03 23:00:00,20177.607
2015-01-04 00:00:00,14093.623
2015-01-04 01:00:00,15071.194
2015-01-04 02:00:00,15739.306
2015-01-04 03:00:00,16371.559
2015-01-04 04:00:00,17017.271
2015-01-04 05:00:00,16120.848
2015-01-04 06:00:00,14157.282
2015-01-04 07:00:00,12864.42
2015-01-04 08:00:00,15248.092
2015-01-04 09:00:00,17761.438
2015-01-04 10:00:00,21590.338
2015-01-04 11:00:00,22976.207
2015-01-04 12:00:00,20235.959
2015-01-04 13:00:00,16356.177
2015-01-04 14:00:00,15253.083
2015-01-04 15:00:00,16780.074
2015-01-04 16:00:00,16879.488
2015-01-04 17:00:00,17487.502
2015-01-04 18:00:00,21578.6
2015-01-04 19:00:00,28215.049
2015-01-04 20:00:00,31555.217
